text,word_count,class,author,topic,sample_id
"Every disposition of the ground was good; and she looked on the whole scene, the river, the trees scattered on its banks, and the winding of the valley, as far as she could trace it, with delight. As they passed into other rooms, these objects were taking different positions; but from every window there were beauties to be seen. The rooms were lofty and handsome, and their furniture suitable to the fortune of their proprietor; but Elizabeth saw, with admiration of his taste, that it was neither gaudy nor uselessly fine,--with less of splendour, and more real elegance, than the furniture of Rosings.",103,human,Austen,original_literature,0
"I thought he would be more glad if I came upon him with his breakfast, in that unexpected manner, so I went forward softly and touched him on the shoulder. He instantly jumped up, and it was not the same man, but another man! And yet this man was dressed in coarse grey, too, and had a great iron on his leg, and was lame, and hoarse, and cold, and was everything that the other man was; except that he had not the same face, and had a flat broad-brimmed low-crowned felt hat on. All this I saw in a moment, for I had only a moment to see it in: he swore an oath at me, made a hit at me, it was a round weak blow that missed me and almost knocked himself down, for it made him stumble, and then he ran into the mist, stumbling twice as he went, and I lost him.",157,human,Dickens,original_literature,1
"I trust, and I almost believe, that the circumstances likely to renew it are exhausted.” He spoke with the diffidence of a man who knew how slight a thing would overset the delicate organisation of the mind, and yet with the confidence of a man who had slowly won his assurance out of personal endurance and distress. It was not for his friend to abate that confidence. He professed himself more relieved and encouraged than he really was, and approached his second and last point. He felt it to be the most difficult of all; but, remembering his old Sunday morning conversation with Miss Pross, and remembering what he had seen in the last nine days, he knew that he must face it.",123,human,Dickens,original_literature,2
"The art of self-deception is, perhaps, most skillfully practiced in matters of the heart. It is a delicate operation, requiring a subtle manipulation of memory and a selective disregard for inconvenient truths. A lady, for example, might convince herself that a gentleman’s coldness is merely a manifestation of shyness, or that his indifference is a test of her affections. She will dwell upon the fleeting moments of kindness, magnifying their importance, while conveniently overlooking the more frequent displays of neglect. This is not necessarily a conscious process, but rather a natural inclination of the female mind, prone to romantic speculation and easily captivated by the promise of happiness. And yet, to persist in such illusions is to invite disappointment, and to forfeit the opportunity for a connection founded upon mutual esteem and genuine understanding.",134,ai_mimicked,Austen_mimicked,Self-Deception,3
"It would be an interesting, and certainly a very kind undertaking; highly becoming her own situation in life, her leisure, and powers. She was so busy in admiring those soft blue eyes, in talking and listening, and forming all these schemes in the in-betweens, that the evening flew away at a very unusual rate; and the supper-table, which always closed such parties, and for which she had been used to sit and watch the due time, was all set out and ready, and moved forwards to the fire, before she was aware. With an alacrity beyond the common impulse of a spirit which yet was never indifferent to the credit of doing every thing well and attentively, with the real good-will of a mind delighted with its own ideas, did she then do all the honours of the meal, and help and recommend the minced chicken and scalloped oysters, with an urgency which she knew would be acceptable to the early hours and civil scruples of their guests.",168,human,Austen,original_literature,4
"May is the very month which Mrs. Churchill is ordered, or has ordered herself, to spend in some warmer place than Enscombe in short, to spend in London; so that we have the agreeable prospect of frequent visits from Frank the whole spring precisely the season of the year which one should have chosen for it: days almost at the longest; weather genial and pleasant, always inviting one out, and never too hot for exercise. When he was here before, we made the best of it; but there was a good deal of wet, damp, cheerless weather; there always is in February, you know, and we could not do half that we intended.",113,human,Austen,original_literature,5
"One often observes, in the conduct of families, a curious inversion of natural order, wherein the younger members are expected to bear the consequences of the elder’s imprudence. The case of the Fairchilds presented a particularly striking example. Old Mr. Fairchild, having squandered a considerable inheritance on speculative ventures, now relied entirely upon the earnings of his daughters, Miss Amelia and Miss Beatrice, to maintain a semblance of gentility. It was not, one suspects, a burden they accepted with equanimity. Yet, to openly resent their father’s failings would be a breach of *propriety* too grievous to contemplate. Their lives, therefore, were a quiet testament to the sacrifices demanded by familial duty, a silent reproach to the folly of those who placed their own gratification above the welfare of their children.",130,ai_mimicked,Austen_mimicked,Familial Duty,6
"The quarter of an hour brought her punctually to the white gate again; and Miss Smith receiving her summons, was with her without delay, and unattended by any alarming young man. She came solitarily down the gravel walk a Miss Martin just appearing at the door, and parting with her seemingly with ceremonious civility. Harriet could not very soon give an intelligible account. She was feeling too much; but at last Emma collected from her enough to understand the sort of meeting, and the sort of pain it was creating. She had seen only Mrs. Martin and the two girls.",100,human,Austen,original_literature,7
"Emma was obliged to fancy what she liked but she could never believe that in the same situation she should not have discovered the truth. She had been satisfied to hear and believe just what Mrs. Goddard chose to tell her; and looked no farther. Mrs. Goddard, and the teachers, and the girls and the affairs of the school in general, formed naturally a great part of the conversation and but for her acquaintance with the Martins of Abbey-Mill Farm, it must have been the whole. But the Martins occupied her thoughts a good deal; she had spent two very happy months with them, and now loved to talk of the pleasures of her visit, and describe the many comforts and wonders of the place.",125,human,Austen,original_literature,8
"I would not have you too sanguine; though, however it may end, be assured your raising your thoughts to him, is a mark of good taste which I shall always know how to value.” Harriet kissed her hand in silent and submissive gratitude. Emma was very decided in thinking such an attachment no bad thing for her friend. Its tendency would be to raise and refine her mind and it must be saving her from the danger of degradation. In this state of schemes, and hopes, and connivance, June opened upon Hartfield. To Highbury in general it brought no material change.",101,human,Austen,original_literature,9
"But he is, beyond all comparison, the most agreeable man I ever saw--and if he becomes really attached to me--I believe it will be better that he should not. I see the imprudence of it. Oh, that abominable Mr. Darcy! My father's opinion of me does me the greatest honour; and I should be miserable to forfeit it. My father, however, is partial to Mr. Wickham. In short, my dear aunt, I should be very sorry to be the means of making any of you unhappy; but since we see, every day, that where there is affection young people are seldom withheld, by immediate want of fortune, from entering into engagements with each other, how can I promise to be wiser than so many of my fellow-creatures, if I am tempted, or how am I even to know that it would be wiser to resist?",145,human,Austen,original_literature,10
"My thoughts, when they were wildest, never rose near the happiness that I have known with you, and that we have before us.” He embraced her, solemnly commended her to Heaven, and humbly thanked Heaven for having bestowed her on him. By-and-bye, they went into the house. There was no one bidden to the marriage but Mr. Lorry; there was even to be no bridesmaid but the gaunt Miss Pross. The marriage was to make no change in their place of residence; they had been able to extend it, by taking to themselves the upper rooms formerly belonging to the apocryphal invisible lodger, and they desired nothing more.",108,human,Dickens,original_literature,11
"He besought her--though he added that he knew it was needless--to console her father, by impressing him through every tender means she could think of, with the truth that he had done nothing for which he could justly reproach himself, but had uniformly forgotten himself for their joint sakes. Next to her preservation of his own last grateful love and blessing, and her overcoming of her sorrow, to devote herself to their dear child, he adjured her, as they would meet in Heaven, to comfort her father. To her father himself, he wrote in the same strain; but, he told her father that he expressly confided his wife and child to his care.",113,human,Dickens,original_literature,12
"“The line between good and evil is often blurred, and it is in that gray area that most of life takes place,” observes philosopher Hannah Arendt, a sentiment particularly relevant when examining moral corruption. This isn’t about absolute villains, but about ordinary people making choices within complex circumstances. Often, the seeds of corruption are sown not by malice, but by a lack of critical thinking, a willingness to accept prevailing narratives without questioning their underlying assumptions, or a simple failure to recognize the consequences of one’s actions. It’s a failure of moral imagination, an inability to empathize with those affected by one’s choices, and a gradual erosion of personal responsibility.",110,ai_neutral,AI,Moral Corruption,13
"My illness, I well knew, had been entirely brought on by myself by such negligence of my own health, as I had felt even at the time to be wrong. Had I died, it would have been self-destruction. I did not know my danger till the danger was removed; but with such feelings as these reflections gave me, I wonder at my recovery, wonder that the very eagerness of my desire to live, to have time for atonement to my God, and to you all, did not kill me at once. Had I died, in what peculiar misery should I have left you, my nurse, my friend, my sister!",109,human,Austen,original_literature,14
"He must have had a tiresome journey of it, for Mr. Wopsle, being knocked up, was in such a very bad temper that if the Church had been thrown open, he would probably have excommunicated the whole expedition, beginning with Joe and myself. In his lay capacity, he persisted in sitting down in the damp to such an insane extent, that when his coat was taken off to be dried at the kitchen fire, the circumstantial evidence on his trousers would have hanged him, if it had been a capital offence. By that time, I was staggering on the kitchen floor like a little drunkard, through having been newly set upon my feet, and through having been fast asleep, and through waking in the heat and lights and noise of tongues.",131,human,Dickens,original_literature,15
"She was, in fact, beginning very much to wonder that she had ever thought him pleasing at all; and his sight was so inseparably connected with some very disagreeable feelings, that, except in a moral light, as a penance, a lesson, a source of profitable humiliation to her own mind, she would have been thankful to be assured of never seeing him again. She wished him very well; but he gave her pain, and his welfare twenty miles off would administer most satisfaction. The pain of his continued residence in Highbury, however, must certainly be lessened by his marriage. Many vain solicitudes would be prevented many awkwardnesses smoothed by it.",110,human,Austen,original_literature,16
