text_sample,actual_class,ttr,tree_depth,adj_noun_ratio,flesch_kincaid,semicolon_density,comma_density,pred_tier_a_xgb,pred_tier_b_ffnn,pred_tier_c_transformer,all_correct,deceptive_sample
"The history of political movements demonstrates a consistent reliance on psychological manipulation to achieve widespread support. Consider propaganda during wartime – not merely disseminating information, but crafting narratives designed to evoke specific emotional responses: fear, patriotism, or righteous anger. These appeals bypass rational thought, tapping into primal instincts and pre-existing biases. Modern political campaigns employ similar tactics, utilizing micro-targeting based on data analytics to deliver personalized messages that exploit individual anxieties and aspirations. The ethical implications are profound, raising questions about the very nature of informed consent and the potential for democratic processes to be subverted by emotionally charged rhetoric rather than reasoned debate.",ai_neutral,0.8942307692307693,8.6,0.5714285714285714,19.93914563106796,0.0,6.0,ai_neutral,ai_neutral,ai_neutral,True,False
"The remains of my poor sister had been brought round by the kitchen door, and, it being a point of Undertaking ceremony that the six bearers must be stifled and blinded under a horrible black velvet housing with a white border, the whole looked like a blind monster with twelve human legs, shuffling and blundering along, under the guidance of two keepers, the postboy and his comrade. The neighbourhood, however, highly approved of these arrangements, and we were much admired as we went through the village; the more youthful and vigorous part of the community making dashes now and then to cut us off, and lying in wait to intercept us at points of vantage.",human,0.7657657657657657,10.0,0.3461538461538461,24.07326086956522,1.0,10.0,ai_mimicked,human,human,False,False
"If you have not been mistaken here, I must have been in an error. Your superior knowledge of your sister must make the latter probable. If it be so, if I have been misled by such error to inflict pain on her, your resentment has not been unreasonable. But I shall not scruple to assert, that the serenity of your sister's countenance and air was such as might have given the most acute observer a conviction that, however amiable her temper, her heart was not likely to be easily touched. That I was desirous of believing her indifferent is certain; but I will venture to say that my investigations and decisions are not usually influenced by my hopes or fears.",human,0.6578947368421053,5.8,0.631578947368421,11.568333333333335,1.0,6.0,human,human,human,True,False
"Mrs. Hawthorne, a woman whose judgment, though frequently exercised upon matters of little consequence, was rarely mistaken in assessing the value of a connection, observed with a knowing glance the arrival of the new curate’s wife. It was not her modest gown, nor her unassuming manner, that drew Mrs. Hawthorne’s attention, but rather the distinct lack of family portraits adorning the carriage. A clergyman, yes, and therefore respectable, but a clergyman *without* lineage? Such a circumstance spoke volumes. One could scarcely expect a gentleman of established breeding to associate with those whose roots were so…tenuous. The consequence, she predicted with a certainty born of long observation, would be a gradual, yet inexorable, exclusion from the best houses in the parish, a fate she considered most regrettable, though entirely deserved.",ai_mimicked,0.7916666666666666,6.666666666666667,0.46875,12.178538205980068,0.0,16.0,ai_mimicked,ai_mimicked,ai_mimicked,True,False
"Imagine a life where every interaction feels performative, a carefully constructed facade masking an underlying emptiness. This is the reality for many experiencing chronic social isolation. It’s not necessarily a lack of *opportunities* for connection, but a crippling fear of vulnerability, a belief that authentic self-expression will lead to rejection. This fear often stems from past experiences of trauma, bullying, or social exclusion, creating a self-perpetuating cycle. Breaking free requires cultivating self-compassion, challenging negative thought patterns, and gradually taking small risks to rebuild trust in others. Therapy, support groups, and mindful practices can provide valuable tools for navigating these complex emotional landscapes.",ai_neutral,0.8888888888888888,5.666666666666667,0.4166666666666667,16.14392156862745,0.0,10.0,ai_neutral,ai_neutral,ai_neutral,True,False
"It was the afternoon coach by which I had taken my place, and, as winter had now come round, I should not arrive at my destination until two or three hours after dark. Our time of starting from the Cross Keys was two o'clock. I arrived on the ground with a quarter of an hour to spare, attended by the Avenger, if I may connect that expression with one who never attended on me if he could possibly help it. At that time it was customary to carry Convicts down to the dock-yards by stage-coach. As I had often heard of them in the capacity of outside passengers, and had more than once seen them on the high road dangling their ironed legs over the coach roof, I had no cause to be surprised when Herbert, meeting me in the yard, came up and told me there were two convicts going down with me.",human,0.6778523489932886,7.2,0.2592592592592592,12.12979220779221,0.0,9.0,human,human,human,True,False
"Society has claims on us all; and I profess myself one of those who consider intervals of recreation and amusement as desirable for everybody.” Elizabeth's spirits were so high on the occasion, that though she did not often speak unnecessarily to Mr. Collins, she could not help asking him whether he intended to accept Mr. Bingley's invitation, and if he did, whether he would think it proper to join in the evening's amusement; and she was rather surprised to find that he entertained no scruple whatever on that head, and was very far from dreading a rebuke, either from the Archbishop or Lady Catherine de Bourgh, by venturing to dance.",human,0.75,11.5,0.3076923076923077,14.229545454545455,2.0,7.0,human,human,human,True,False
"We exchanged a cordial good-night, and I went home, with new matter for my thoughts, though with no relief from the old. Putting Miss Havisham's note in my pocket, that it might serve as my credentials for so soon reappearing at Satis House, in case her waywardness should lead her to express any surprise at seeing me, I went down again by the coach next day. But I alighted at the Halfway House, and breakfasted there, and walked the rest of the distance; for I sought to get into the town quietly by the unfrequented ways, and to leave it in the same manner.",human,0.74,8.0,0.4117647058823529,13.247307692307691,1.0,9.0,human,human,human,True,False
"One frequently encounters the assertion that merit alone should dictate a person’s standing in society, a sentiment which, whilst undeniably pleasing to the ear, bears little resemblance to the realities of human behaviour. Observe, for instance, the plight of Mr. Thornton, a man of undeniable intellect and industry, yet perpetually excluded from the more exclusive circles of the county. His father, a humble apothecary, had amassed a considerable fortune, but this, rather than elevating the family, seemed only to serve as a constant reminder of their origins. It is a curious paradox, is it not, that those who strive to improve their condition through honest endeavour are often met with a resistance born not of disapproval of their efforts, but of a deep-seated anxiety regarding the disruption of the established order.",ai_mimicked,0.7886178861788617,10.5,0.3548387096774194,15.795938931297712,0.0,15.0,ai_mimicked,ai_mimicked,ai_mimicked,True,False
"Consider, if you will, the nursery – a chamber ostensibly dedicated to joy and burgeoning life – and observe how closely it borders upon the shadow of the grave. A child’s fleeting illness, a feverish flush upon a rosy cheek, and suddenly the delicate balance is disturbed, the laughter stilled. Mrs. Featherstonehaugh, a woman of considerable fortune but little fortitude, found herself thus afflicted, watching her youngest, little Cecil, succumb to a complaint the physician vaguely termed “a weakness of the lungs.” The irony, of course, was not lost upon her; to amass wealth, to secure comfort, only to be rendered powerless before the simple, brutal fact of mortality. It is a truth that haunts the gilded cage as surely as it does the workhouse door, a constant, unwelcome guest at every feast.",ai_mimicked,0.7704918032786885,8.8,0.4193548387096774,13.724183206106872,1.0,17.0,ai_mimicked,ai_mimicked,ai_mimicked,True,False
"Consider the carefully curated image of success presented on social media. This constant bombardment of aspirational lifestyles doesn’t just inspire; it actively obscures the realities of economic struggle for many. Class consciousness, in the digital age, is increasingly about deconstructing these illusions. It’s recognizing that the “self-made” narrative often ignores the privileges and advantages that paved the way. It’s about critically analyzing the algorithms that reinforce existing inequalities and the marketing strategies that exploit insecurities. This form of awareness requires a deliberate effort to seek out alternative perspectives and challenge the dominant cultural narratives that perpetuate class divisions. It’s a constant process of unlearning and re-evaluation.",ai_neutral,0.7547169811320755,6.857142857142857,0.375,15.474204851752024,1.0,2.0,ai_neutral,ai_neutral,ai_neutral,True,False
"Ultimately, the debate surrounding gender roles isn’t about eliminating differences between people, but about dismantling power imbalances. Historically, the assignment of roles has been intrinsically linked to systems of oppression, with masculinity often equated with dominance and femininity with subservience. This hierarchy has justified discrimination and violence against those who don’t conform. Moving forward requires a critical examination of these power dynamics and a commitment to creating a society where all individuals, regardless of gender identity, have equal opportunities and are treated with dignity and respect. This necessitates not just individual changes in attitude, but systemic reforms in laws, policies, and institutions.",ai_neutral,0.7878787878787878,7.0,0.1111111111111111,18.62678431372549,0.0,9.0,ai_neutral,ai_neutral,ai_neutral,True,False
"But he found, in reply to this question, that Wickham still cherished the hope of more effectually making his fortune by marriage, in some other country. Under such circumstances, however, he was not likely to be proof against the temptation of immediate relief. They met several times, for there was much to be discussed. Wickham, of course, wanted more than he could get; but at length was reduced to be reasonable. Everything being settled between them, Mr. Darcy's next step was to make your uncle acquainted with it, and he first called in Gracechurch Street the evening before I came home.",human,0.79,6.0,0.5625,8.266089108910894,1.0,10.0,human,human,human,True,False
"There exists, amongst the more charitable souls, a notion that poverty is a moral failing, a consequence of idleness or intemperance. A convenient fiction, I submit, for those who benefit from the existing order. Observe, however, the tireless industry of the match girls, toiling in conditions that would shame a beast, earning a pittance barely sufficient to sustain life. Or the ragged newsboys, hawking their wares in the streets from dawn till dusk, their small hands numb with cold. Are these individuals lacking in virtue? Nay, they are victims of a system that exploits their desperation, that values profit above human dignity. To blame the afflicted for their suffering is a cruelty surpassing even the harshest winter gale.",ai_mimicked,0.7889908256880734,6.571428571428571,0.2571428571428571,10.084285714285716,0.0,13.0,ai_mimicked,ai_mimicked,ai_mimicked,True,False
"I hope and do not doubt it will be agreeable to see him, even though a gentleman, for you had ever a good heart, and he is a worthy, worthy man. I have read him all, excepting only the last little sentence, and he wishes me most particular to write again what larks.” I received this letter by the post on Monday morning, and therefore its appointment was for next day. Let me confess exactly with what feelings I looked forward to Joe's coming. Not with pleasure, though I was bound to him by so many ties; no; with considerable disturbance, some mortification, and a keen sense of incongruity.",human,0.79,6.2,0.6875,9.908330275229355,2.0,10.0,human,human,human,True,False
"Observe, if you will, the nursery of Mrs. Grimalkin, a boarding establishment of decidedly dubious repute. Within those walls, painted a sickly shade of green and smelling faintly of mildew and despair, resided a collection of small, forlorn creatures, each a testament to the casual cruelty of fate. Young Master Cecil, though born to privilege, was utterly bereft of affection, his days measured not in laughter but in the rigid schedule imposed by a governess whose heart appeared to have been long since frozen. His vulnerability lay not in poverty, but in isolation, in the suffocating weight of expectation, and in the chilling realization that wealth could not purchase a single genuine embrace. A gilded cage, indeed, but a cage nonetheless.",ai_mimicked,0.7699115044247787,7.6,0.4516129032258064,11.779132231404962,0.0,15.0,ai_mimicked,ai_mimicked,ai_mimicked,True,False
"Joe offered no answer, poor fellow, but stood feeling his whisker and looking dejectedly at me, as if he thought it really might have been a better speculation. It was a trial to my feelings, on the next day but one, to see Joe arraying himself in his Sunday clothes to accompany me to Miss Havisham's. However, as he thought his court-suit necessary to the occasion, it was not for me to tell him that he looked far better in his working-dress; the rather, because I knew he made himself so dreadfully uncomfortable, entirely on my account, and that it was for me he pulled up his shirt-collar so very high behind, that it made the hair on the crown of his head stand up like a tuft of feathers.",human,0.6511627906976745,7.333333333333333,0.2857142857142857,17.920769230769235,1.0,11.0,human,human,human,True,False
"The cobbled streets, slick with a perpetual dampness, mirrored the shadowed corners of young Timothy’s heart, a heart scarcely warmed by the meagre comforts afforded him by a world too vast and indifferent to notice its fluttering. He was a wisp of a lad, scarcely seven years of age, yet already burdened with a knowledge no child ought possess – the gnawing ache of hunger, the chilling fear of the workhouse, and the hollow echo of a mother’s vanished smile. One observed him, a fleeting figure amongst the bustling throng, and understood, without need of spoken word, that vulnerability was not merely a state of being, but a garment woven of threadbare hope and constant apprehension, clinging to him like the grime of the city itself. It was a fragility that invited exploitation, a silent plea lost in the cacophony of London’s relentless advance.",ai_mimicked,0.7480916030534351,8.25,0.375,16.67138111888112,0.0,14.0,ai_mimicked,ai_mimicked,ai_mimicked,True,False
"I should infinitely prefer a book.” But of this answer Lydia heard not a word. She seldom listened to anybody for more than half a minute, and never attended to Mary at all. In the afternoon Lydia was urgent with the rest of the girls to walk to Meryton, and see how everybody went on; but Elizabeth steadily opposed the scheme. It should not be said, that the Miss Bennets could not be at home half a day before they were in pursuit of the officers. There was another reason, too, for her opposition. She dreaded seeing Wickham again, and was resolved to avoid it as long as possible.",human,0.7307692307692307,5.857142857142857,0.2142857142857142,7.803958060288338,1.0,6.0,human,human,human,True,False
"It is a truth universally acknowledged, that a single woman with a moderate fortune must be in want of a husband – or, at least, subjected to the relentless machinations of those who believe she ought to be. Yet, the pursuit of a suitable establishment is rarely a matter of simple necessity, but rather a complex negotiation of family expectations, personal inclinations, and, most crucially, the delicate balance of power inherent in the marriage market. Miss Eleanor Ainsworth, for instance, possessed a competence sufficient to render her independent, yet found herself besieged by gentlemen whose attentions were less focused on her person than upon the security her funds might afford. One cannot but observe the subtle, and not-so-subtle, calculations that underpin these connections, a world where affection is frequently a fortunate, rather than a foundational, element.",ai_mimicked,0.8015873015873016,10.0,0.5161290322580645,18.899907407407408,0.0,17.0,ai_mimicked,ai_mimicked,ai_mimicked,True,False
"The persistent idea that social class is solely determined by individual choices ignores the powerful influence of intergenerational wealth and systemic disadvantage. Consider the seemingly simple act of homeownership: for many, it’s the primary means of building equity. However, historical and ongoing discriminatory housing practices – redlining, restrictive covenants – have systematically denied opportunities for wealth accumulation to communities of color, effectively locking generations into cycles of poverty. This isn’t a matter of poor financial decisions; it’s a consequence of deliberate policies designed to maintain existing power structures. Consequently, focusing solely on individual responsibility overlooks the structural impediments that prevent equitable access to resources and opportunities, reinforcing existing inequalities.",ai_neutral,0.7904761904761904,6.4,0.5428571428571428,21.428897196261683,1.0,6.0,ai_neutral,ai_neutral,ai_neutral,True,False
"It plaited itself into whatever I thought of, as a bodily pain would have done. Not long before, I had read in the newspapers, how a gentleman unknown had come to the Hummums in the night, and had gone to bed, and had destroyed himself, and had been found in the morning weltering in blood. It came into my head that he must have occupied this very vault of mine, and I got out of bed to assure myself that there were no red marks about; then opened the door to look out into the passages, and cheer myself with the companionship of a distant light, near which I knew the chamberlain to be dozing.",human,0.6944444444444444,7.333333333333333,0.2777777777777778,15.059130434782611,1.0,9.0,human,human,human,True,False
