text,word_count,class,author,topic,sample_id
"""It's all very true! It's a weakness to be so affectionate, but I can't help it. No doubt my health would be much better if it was otherwise, still I wouldn't change my disposition if I could. It's the cause of much suffering, but it's a consolation to know I possess it, when I wake up in the night.” Here another burst of feeling. Miss Havisham and I had never stopped all this time, but kept going round and round the room; now brushing against the skirts of the visitors, now giving them the whole length of the dismal chamber. ""There's Matthew!” said Camilla. ""Never mixing with any natural ties, never coming here to see how Miss Havisham is! I have taken to the sofa with my staylace cut, and have lain there hours insensible, with my head over the side, and my hair all down, and my feet I don't know where ” (""Much higher than your head, my love,” said Mr. Camilla.) ""I have gone off into that state, hours and hours, on account of Matthew's strange and inexplicable conduct, and nobody has thanked me.” ""Really I must say I should think not!” interposed the grave lady.",199,human,Dickens,original_literature,0
"was sitting in the chimney corner with my slate, expending great efforts on the production of a letter to Joe. I think it must have been a full year after our hunt upon the marshes, for it was a long time after, and it was winter and a hard frost. With an alphabet on the hearth at my feet for reference, I contrived in an hour or two to print and smear this epistle: ""MI DEER JO i OPE U R KRWITE WELL i OPE i SHAL SON B HABELL 4 2 TEEDGE U JO AN THEN WE SHORL B SO GLODD AN WEN i M PRENGTD 2 U JO WOT LARX AN BLEVE ME INF XN PIP.” There was no indispensable necessity for my communicating with Joe by letter, inasmuch as he sat beside me and we were alone. But I delivered this written communication (slate and all) with my own hand, and Joe received it as a miracle of erudition. ""I say, Pip, old chap!” cried Joe, opening his blue eyes wide, ""what a scholar you are!",179,human,Dickens,original_literature,1
"To observe the intricacies of the marriage market is, in truth, to witness a performance of considerable complexity. Each party, whether consciously or not, adopts a role – the demure maiden, the attentive suitor, the anxious mother, the calculating aunt. The dialogue is rarely direct, consisting instead of veiled allusions, subtle compliments, and carefully constructed inquiries. A seemingly innocent remark about the weather may, in fact, be a shrewd assessment of a gentleman’s estate. A casual observation on a lady’s accomplishments may conceal a critical evaluation of her dowry. It is a game of artifice, played with a degree of skill that would astonish those unfamiliar with the rules, and one in which the stakes are, for many, of the utmost importance.",122,ai_mimicked,Austen,Marriage Prospects,2
"my father should have left so small a collection of books. What a delightful library you have at Pemberley, Mr. Darcy!” ""It ought to be good,” he replied: ""it has been the work of many generations.” ""And then you have added so much to it yourself--you are always buying books.” ""I cannot comprehend the neglect of a family library in such days as these.” ""Neglect! I am sure you neglect nothing that can add to the beauties of that noble place. Charles, when you build your house, I wish it may be half as delightful as Pemberley.” ""I wish it may.” ""But I would really advise you to make your purchase in that neighbourhood, and take Pemberley for a kind of model.",122,human,Austen,original_literature,3
"It is frequently remarked that a young man’s fortune dictates the extent of his choice, while a young woman’s choice dictates the extent of her fortune. A gentleman, possessing an ample inheritance, may afford to indulge in a romantic attachment, selecting a wife based upon personal affection and shared interests. A lady, however, is rarely granted such liberty. Her considerations are, of necessity, more pragmatic. She must weigh the advantages of rank, income, and social standing against the potential for domestic unhappiness. The disparity is, undeniably, unjust, yet it is a truth woven into the very fabric of our society, and one which few dare to challenge with any lasting effect.",111,ai_mimicked,Austen,Marriage Prospects,4
"The concept of ‘family’ is increasingly fluid in the 21st century, challenging traditional notions of kinship and obligation. While biological ties remain significant for many, chosen families – networks of supportive, non-related individuals – are gaining prominence, particularly within LGBTQ+ communities and among those estranged from their families of origin. This shift reflects a growing emphasis on emotional resonance and reciprocal care over inherited connections. The strength of a family, therefore, isn’t determined by its structure, but by the quality of its bonds: the consistent demonstration of empathy, respect, and unwavering support, regardless of blood relation. This redefinition acknowledges that family is less about *who* you’re related to, and more about *who* consistently shows up for you.",117,ai_neutral,AI,Family Dynamics,5
"now, I may never have another opportunity.” ""I would by no means suspend any pleasure of yours,” he coldly replied. She said no more, and they went down the other dance and parted in silence; on each side dissatisfied, though not to an equal degree; for in Darcy's breast there was a tolerably powerful feeling towards her, which soon procured her pardon, and directed all his anger against another. They had not long separated when Miss Bingley came towards her, and, with an expression of civil disdain, thus accosted her,-- ""So, Miss Eliza, I hear you are quite delighted with George Wickham? Your sister has been talking to me about him, and asking me a thousand questions; and I find that the young man forgot to tell you, among his other communications, that he was the son of old Wickham, the late Mr. Darcy's steward. Let me recommend you, however, as a friend, not to give implicit confidence to all his assertions; for, as to Mr. Darcy's using him ill, it is perfectly false: for, on the contrary, he has been always remarkably kind to him, though George Wickham has treated Mr. Darcy in a most infamous manner.",198,human,Austen,original_literature,6
"Looking beyond immediate financial hardship, class disparity subtly erodes social cohesion. When significant portions of the population feel excluded from economic prosperity, it breeds resentment, distrust, and political polarization. This isn’t simply an economic issue; it’s a threat to the fabric of democracy itself. The concentration of wealth allows for disproportionate political influence, further entrenching existing inequalities. Addressing this requires not only economic reforms, but a fundamental shift in societal values – a recognition that a thriving society benefits *all* its members, not just a select few. Ignoring this reality invites instability and ultimately, collective decline.",96,ai_neutral,AI,Class Disparity,7
"Observing families is akin to studying miniature societies, complete with their own unique cultures, rituals, and hierarchies. These internal systems develop organically, often around shared values, religious beliefs, or even simply habitual routines. Mealtime conversations, holiday traditions, and the way disagreements are handled all contribute to this distinct family “culture.” While these traditions can provide a sense of belonging and stability, they can also become rigid and exclusionary, stifling individual expression. A healthy family dynamic allows for evolution, embracing change and adapting traditions to meet the needs of all members, rather than clinging to the past for the sake of familiarity.",101,ai_neutral,AI,Family Dynamics,8
"which was a wooden house, as many of the dwellings in our country were, most of them, at that time. When I ran home from the churchyard, the forge was shut up, and Joe was sitting alone in the kitchen. Joe and I being fellow-sufferers, and having confidences as such, Joe imparted a confidence to me, the moment I raised the latch of the door and peeped in at him opposite to it, sitting in the chimney corner. ""Mrs. Joe has been out a dozen times, looking for you, Pip. And she's out now, making it a baker's dozen.” ""Is she?” ""Yes, Pip,” said Joe; ""and what's worse, she's got Tickler with her.” At this dismal intelligence, I twisted the only button on my waistcoat round and round, and looked in great depression at the fire. Tickler was a wax-ended piece of cane, worn smooth by collision with my tickled frame. ""She sot down,” said Joe, ""and she got up, and she made a grab at Tickler, and she Ram-paged out.",171,human,Dickens,original_literature,9
"really, with vexed and embarrassed looks, about to escape, she added, ""Lizzy, I insist upon your staying and hearing Mr. Collins.” Elizabeth would not oppose such an injunction; and a moment's consideration making her also sensible that it would be wisest to get it over as soon and as quietly as possible, she sat down again, and tried to conceal, by incessant employment, the feelings which were divided between distress and diversion. Mrs. Bennet and Kitty walked off, and as soon as they were gone, Mr. Collins began,-- ""Believe me, my dear Miss Elizabeth, that your modesty, so far from doing you any disservice, rather adds to your other perfections. You would have been less amiable in my eyes had there not been this little unwillingness; but allow me to assure you that I have your respected mother's permission for this address. You can hardly doubt the purport of my discourse, however your natural delicacy may lead you to dissemble; my attentions have been too marked to be mistaken. Almost as soon as I entered the house I singled you out as the companion of my future life.",188,human,Austen,original_literature,10
"Is it a paradox that acknowledging our eventual demise can actually enrich life? The consistent denial of mortality, prevalent in modern society with its focus on youth and longevity, often leads to a shallow existence, prioritizing fleeting pleasures over meaningful pursuits. Truly confronting the finite nature of our time isn’t about dwelling on sadness, but about recalibrating values. It’s recognizing that opportunities aren’t infinite, and therefore, each moment deserves intention. This awareness fosters a sense of urgency, prompting us to pursue passions, nurture relationships, and contribute to something larger than ourselves. Ultimately, accepting mortality isn’t a surrender to despair, but an invitation to live more fully, authentically, and with a profound appreciation for the present.",115,ai_neutral,AI,Mortality Awareness,11
