text,true_label,true_class,xgb_pred,transformer_pred,xgb_correct,transformer_correct
"It is a truth universally acknowledged, that a single woman possessed of a moderate fortune must be the subject of much speculation regarding her matrimonial prospects; yet, seldom is consideration given to the constraints under which she must navigate such a pursuit. For while a gentleman enjoys the liberty of choosing a wife based upon inclination, or even a calculated advantage to his estate, a lady’s choice is frequently dictated by necessity, by the imperative to secure a comfortable establishment, and to avoid the precariousness of dependence. To speak plainly, a woman’s value in society is too often measured by her potential to provide an heir, or to enhance a gentleman’s standing, rather than by her accomplishments or her understanding. Such a disparity, though rarely acknowledged with bluntness, casts a long shadow upon the lives of those whose fortunes do not grant them complete independence.",1,ai,0,1,False,True
"‘This young gentleman is blessed, in a peculiar way, with everything the heart of mortal can most desire,--splendid property, noble kindred, and extensive patronage. Yet, in spite of all these temptations, let me warn my cousin Elizabeth, and yourself, of what evils you may incur by a precipitate closure with this gentleman's proposals, which, of course, you will be inclined to take immediate advantage of.' Have you any idea, Lizzy, who this gentleman is? But now it comes out. ‘My motive for cautioning you is as follows:--We have reason to imagine that his aunt, Lady Catherine de Bourgh, does not look on the match with a friendly eye.'",0,human,1,0,False,True
"Colonel Fitzwilliam, who led the way, was about thirty, not handsome, but in person and address most truly the gentleman. Mr. Darcy looked just as he had been used to look in Hertfordshire, paid his compliments, with his usual reserve, to Mrs. Collins; and whatever might be his feelings towards her friend, met her with every appearance of composure. Elizabeth merely courtesied to him, without saying a word. Colonel Fitzwilliam entered into conversation directly, with the readiness and ease of a well-bred man, and talked very pleasantly; but his cousin, after having addressed a slight observation on the house and garden to Mrs. Collins, sat for some time without speaking to anybody.",0,human,1,0,False,True
"Every hour so increased my abhorrence of him, that I even think I might have yielded to this impulse in the first agonies of being so haunted, notwithstanding all he had done for me and the risk he ran, but for the knowledge that Herbert must soon come back. Once, I actually did start out of bed in the night, and begin to dress myself in my worst clothes, hurriedly intending to leave him there with everything else I possessed, and enlist for India as a private soldier. I doubt if a ghost could have been more terrible to me, up in those lonely rooms in the long evenings and long nights, with the wind and the rain always rushing by.",0,human,1,0,False,True
"I should certainly not have gone, but for the reference to my Uncle Provis. That, coming on Wemmick's letter and the morning's busy preparation, turned the scale. It is so difficult to become clearly possessed of the contents of almost any letter, in a violent hurry, that I had to read this mysterious epistle again twice, before its injunction to me to be secret got mechanically into my mind. Yielding to it in the same mechanical kind of way, I left a note in pencil for Herbert, telling him that as I should be so soon going away, I knew not for how long, I had decided to hurry down and back, to ascertain for myself how Miss Havisham was faring.",0,human,1,0,False,True
"The drawing-rooms of our acquaintance are, alas, frequently populated by individuals whose chief occupation appears to be the cultivation of an outward semblance of refinement, a pursuit which, one cannot help observing, often masks a lamentable deficiency within. Mrs. Armitage, a lady whose connections are undeniably respectable, prides herself upon her knowledge of the arts, yet her pronouncements on painting and music are invariably second-hand, gleaned from the opinions of others and delivered with an air of unquestionable authority. It is not the absence of taste which is so distressing, but the conviction of its presence, a self-deception which allows her to pronounce judgment where understanding is wholly lacking, and to hold forth as an oracle on subjects of which she possesses no true comprehension.",1,ai,0,1,False,True
"After overhearing this dialogue, I should assuredly have got down and been left in the solitude and darkness of the highway, but for feeling certain that the man had no suspicion of my identity. Indeed, I was not only so changed in the course of nature, but so differently dressed and so differently circumstanced, that it was not at all likely he could have known me without accidental help. Still, the coincidence of our being together on the coach, was sufficiently strange to fill me with a dread that some other coincidence might at any moment connect me, in his hearing, with my name.",0,human,1,0,False,True
"The grand estates, with their manicured lawns and imposing facades, speak volumes of a control extending beyond the merely economic. They are not simply residences, but statements – declarations of ownership, of power, of a social order rigidly defined. Note the carefully positioned gates, the watchful eyes of the gatekeepers, the very layout of the grounds, designed to separate and exclude. Within those walls, a life of privilege and ease is enjoyed, shielded from the harsh realities faced by the majority. But this separation is not merely physical; it is also intellectual and emotional. Those who dwell within are encouraged to believe in their inherent superiority, to view the poor as deserving of their fate, thus perpetuating a system of control that benefits the few at the expense of the many, a system as cold and unyielding as the stone from which those grand houses are built.",1,ai,0,1,False,True
"It had been placed there since my last visit, and I entered, that same day, on a regular occupation of pushing Miss Havisham in this chair (when she was tired of walking with her hand upon my shoulder) round her own room, and across the landing, and round the other room. Over and over and over again, we would make these journeys, and sometimes they would last as long as three hours at a stretch. I insensibly fall into a general mention of these journeys as numerous, because it was at once settled that I should return every alternate day at noon for these purposes, and because I am now going to sum up a period of at least eight or ten months.",0,human,1,0,False,True
"Your retrospections must be so totally void of reproach, that the contentment arising from them is not of philosophy, but, what is much better, of ignorance. But with me, it is not so. Painful recollections will intrude, which cannot, which ought not to be repelled. I have been a selfish being all my life, in practice, though not in principle. As a child I was taught what was right, but I was not taught to correct my temper. I was given good principles, but left to follow them in pride and conceit. Unfortunately an only son (for many years an only child), I was spoiled by my parents, who, though good themselves, (my father particularly, all that was benevolent and amiable,) allowed, encouraged, almost taught me to be selfish and overbearing, to care for none beyond my own family circle, to think meanly of all the rest of the world, to wish at least to think meanly of their sense and worth compared with my own.",0,human,1,0,False,True
"When we drove up to the Blue Boar after a drizzly ride, whom should I see come out under the gateway, toothpick in hand, to look at the coach, but Bentley Drummle! As he pretended not to see me, I pretended not to see him. It was a very lame pretence on both sides; the lamer, because we both went into the coffee-room, where he had just finished his breakfast, and where I ordered mine. It was poisonous to me to see him in the town, for I very well knew why he had come there. Pretending to read a smeary newspaper long out of date, which had nothing half so legible in its local news, as the foreign matter of coffee, pickles, fish sauces, gravy, melted butter, and wine with which it was sprinkled all over, as if it had taken the measles in a highly irregular form, I sat at my table while he stood before the fire.",0,human,1,0,False,True
"It came out that the whole of the back of the coach had been taken by a family removing from London, and that there were no places for the two prisoners but on the seat in front behind the coachman. Hereupon, a choleric gentleman, who had taken the fourth place on that seat, flew into a most violent passion, and said that it was a breach of contract to mix him up with such villainous company, and that it was poisonous, and pernicious, and infamous, and shameful, and I don't know what else. At this time the coach was ready and the coachman impatient, and we were all preparing to get up, and the prisoners had come over with their keeper, bringing with them that curious flavour of bread-poultice, baize, rope-yarn, and hearthstone, which attends the convict presence.",0,human,1,0,False,True
"Mr. Pumblechook's premises in the High Street of the market town, were of a peppercorny and farinaceous character, as the premises of a cornchandler and seedsman should be. It appeared to me that he must be a very happy man indeed, to have so many little drawers in his shop; and I wondered when I peeped into one or two on the lower tiers, and saw the tied-up brown paper packets inside, whether the flower-seeds and bulbs ever wanted of a fine day to break out of those jails, and bloom. It was in the early morning after my arrival that I entertained this speculation.",0,human,1,0,False,True
