text_sample,actual_class,ttr,tree_depth,adj_noun_ratio,flesch_kincaid,semicolon_density,comma_density,pred_tier_a_xgb,pred_tier_b_ffnn,pred_tier_c_transformer,all_correct,deceptive_sample
"His being neither is exactly consistent with the probable feelings of a man spoilt in the common sense, but not really injured in disposition, and thoroughly in love. As for his being in love, Elizabeth has given as just an exposition of the causes of that phenomenon as Darcy has of the conditions of his unregenerate state, only she has of course not counted in what was due to her own personal charm. The secret of that charm many men and not a few women, from Miss Austen herself downwards, have felt, and like most charms it is a thing rather to be felt than to be explained.",human,0.6857142857142857,8.333333333333334,0.5263157894736842,15.494444444444444,0.0,7.0,human,human,ai,False,True
"It is natural that obligation should be felt, and if I could feel gratitude, I would now thank you. But I cannot--I have never desired your good opinion, and you have certainly bestowed it most unwillingly. I am sorry to have occasioned pain to anyone. It has been most unconsciously done, however, and I hope will be of short duration. The feelings which you tell me have long prevented the acknowledgment of your regard can have little difficulty in overcoming it after this explanation.” Mr. Darcy, who was leaning against the mantel-piece with his eyes fixed on her face, seemed to catch her words with no less resentment than surprise.",human,0.8018867924528302,6.333333333333333,0.375,9.581818181818182,0.0,7.0,human,human,human,True,False
"I cannot conceive why everybody of his standing who visited at our house should always have put me through the same inflammatory process under similar circumstances. Yet I do not call to mind that I was ever in my earlier youth the subject of remark in our social family circle, but some large-handed person took some such ophthalmic steps to patronise me. All this while, the strange man looked at nobody but me, and looked at me as if he were determined to have a shot at me at last, and bring me down. But he said nothing after offering his Blue Blazes observation, until the glasses of rum and water were brought; and then he made his shot, and a most extraordinary shot it was.",human,0.7131147540983607,7.5,0.6190476190476191,13.926746031746031,1.0,6.0,human,human,human,True,False
"It is a truth universally acknowledged, that a single woman possessed of a moderate fortune must be the subject of much speculation regarding her matrimonial prospects; yet, seldom is consideration given to the constraints under which she must navigate such a pursuit. For while a gentleman enjoys the liberty of choosing a wife based upon inclination, or even a calculated advantage to his estate, a lady’s choice is frequently dictated by necessity, by the imperative to secure a comfortable establishment, and to avoid the precariousness of dependence. To speak plainly, a woman’s value in society is too often measured by her potential to provide an heir, or to enhance a gentleman’s standing, rather than by her accomplishments or her understanding. Such a disparity, though rarely acknowledged with bluntness, casts a long shadow upon the lives of those whose fortunes do not grant them complete independence.",ai,0.7575757575757576,10.25,0.25,19.46198275862069,1.0,11.0,human,ai,ai,False,False
"The concept of inherited trauma, increasingly recognized in psychological research, offers a compelling lens through which to view parental influence. Beyond genetics, parents transmit patterns of emotional regulation – or dysregulation – to their children. A parent consistently responding to stress with anger, for example, may inadvertently teach their child that anger is a valid, even necessary, response to adversity. This isn’t a matter of deliberate teaching, but of neurological mirroring and the development of attachment styles. Consequently, individuals may find themselves repeating unhealthy relational patterns, struggling with anxiety or depression, or exhibiting behaviors that seem illogical from an external perspective. Breaking these cycles requires acknowledging the intergenerational transmission of emotional burdens and actively cultivating alternative coping mechanisms.",ai,0.8214285714285714,6.5,0.3783783783783784,18.500000000000004,0.0,11.0,ai,ai,ai,True,False
"The consequence of it is, that Lady Lucas will have a daughter married before I have, and that Longbourn estate is just as much entailed as ever. The Lucases are very artful people, indeed, sister. They are all for what they can get. I am sorry to say it of them, but so it is. It makes me very nervous and poorly, to be thwarted so in my own family, and to have neighbours who think of themselves before anybody else. However, your coming just at this time is the greatest of comforts, and I am very glad to hear what you tell us of long sleeves.”",human,0.6990291262135923,5.833333333333333,0.7,7.245373831775701,0.0,9.0,human,human,human,True,False
"It is not always the villain, cloaked in darkness, who practices this artful dominion, but often the seemingly harmless soul, brimming with an excess of solicitude. Consider the case of Mrs. Hawthorne, a widow of gentle mien and perpetually anxious brow. Her late husband, a man of considerable fortune, had instilled in her a profound distrust of independent thought, particularly in their daughter, Eliza. Every decision, from the cut of Eliza’s gown to the selection of a suitor, was presented not as a command, but as a necessary precaution against the cruelties of the world. Eliza, suffocated by this well-intentioned tyranny, bloomed not into a woman of spirit, but a pale imitation of her mother’s anxieties, her own voice lost in a chorus of cautionary whispers. A gilded cage, constructed with the finest threads of maternal concern.",ai,0.7421875,8.0,0.4054054054054054,11.939207507820653,0.0,17.0,ai,ai,ai,True,False
"Isn't it strange how often we categorize people based on what they *have* rather than who they *are*? Class consciousness, at its core, isn’t simply awareness of economic disparity; it’s the understanding of one’s position within a larger system of power, and how that position shapes lived experience. This realization often begins with noticing patterns – the subtle differences in opportunity, access, and even expectation based on socioeconomic background. It’s recognizing that individual struggles aren’t isolated incidents, but rather symptoms of systemic issues. Developing this consciousness can be uncomfortable, forcing a re-evaluation of personal beliefs and challenging the narratives of meritocracy. Ultimately, it’s a crucial step towards collective action and advocating for a more equitable society, moving beyond individual ambition to shared progress.",ai,0.7899159663865546,7.333333333333333,0.3611111111111111,16.907213114754096,1.0,9.0,ai,ai,ai,True,False
"One is compelled to consider the inherent paradox within the very concept of parental duty. To nurture a child is to foster their independence, to equip them with the faculties necessary to navigate the world on their own terms. Yet, to exercise that duty effectively often necessitates a degree of control, a shaping of their inclinations towards what is deemed proper and advantageous. Where, then, lies the boundary between benevolent guidance and oppressive interference? It is a question that vexes the most conscientious of parents, and one for which there is, perhaps, no easy answer. The truly wise, one suspects, understand that their role is not to *dictate* happiness, but to provide the conditions in which it may flourish – even if those conditions differ from their own expectations.",ai,0.7016129032258065,8.166666666666666,0.5,12.458125000000004,0.0,11.0,ai,ai,ai,True,False
"The fog, a greasy, yellow shroud, clung to the cobbled streets not merely as a meteorological phenomenon, but as a visible manifestation of the loneliness that permeated the very stones of London; for what, after all, is a city but a multitude of solitudes pressed together, each heart a darkened room wherein dwells a silent, unseen grief? Old Man Hemlock, huddled in a doorway with his threadbare coat pulled tight, was but one such room, a forgotten chamber in the vast, echoing house of humanity. He’d once possessed a trade, a wife, a boisterous son – memories now faded to the colour of dust, leaving him adrift in a sea of indifferent faces. The clatter of carriages, the cries of street vendors, served only to amplify his isolation, a cruel chorus mocking the silence within. Even the warmth of a flickering gas lamp offered no solace, merely casting a longer, more desolate shadow.",ai,0.8014705882352942,7.6,0.4047619047619047,14.74231578947369,1.0,20.0,ai,ai,ai,True,False
