text,word_count,class,author,topic,sample_id
"""It's all very true! It's a weakness to be so affectionate, but I can't help it. No doubt my health would be much better if it was otherwise, still I wouldn't change my disposition if I could. It's the cause of much suffering, but it's a consolation to know I possess it, when I wake up in the night.” Here another burst of feeling. Miss Havisham and I had never stopped all this time, but kept going round and round the room; now brushing against the skirts of the visitors, now giving them the whole length of the dismal chamber. ""There's Matthew!” said Camilla. ""Never mixing with any natural ties, never coming here to see how Miss Havisham is! I have taken to the sofa with my staylace cut, and have lain there hours insensible, with my head over the side, and my hair all down, and my feet I don't know where ” (""Much higher than your head, my love,” said Mr. Camilla.) ""I have gone off into that state, hours and hours, on account of Matthew's strange and inexplicable conduct, and nobody has thanked me.” ""Really I must say I should think not!” interposed the grave lady.",199,human,Dickens,original_literature,0
"was sitting in the chimney corner with my slate, expending great efforts on the production of a letter to Joe. I think it must have been a full year after our hunt upon the marshes, for it was a long time after, and it was winter and a hard frost. With an alphabet on the hearth at my feet for reference, I contrived in an hour or two to print and smear this epistle: ""MI DEER JO i OPE U R KRWITE WELL i OPE i SHAL SON B HABELL 4 2 TEEDGE U JO AN THEN WE SHORL B SO GLODD AN WEN i M PRENGTD 2 U JO WOT LARX AN BLEVE ME INF XN PIP.” There was no indispensable necessity for my communicating with Joe by letter, inasmuch as he sat beside me and we were alone. But I delivered this written communication (slate and all) with my own hand, and Joe received it as a miracle of erudition. ""I say, Pip, old chap!” cried Joe, opening his blue eyes wide, ""what a scholar you are!",179,human,Dickens,original_literature,1
"A curious paradox presents itself when one considers the expectations placed upon women. They are encouraged to cultivate sensibility, to possess a refined understanding of the arts and emotions, yet are simultaneously discouraged from expressing their feelings with too much vehemence or independence. A woman who displays too much passion is deemed hysterical; one who remains entirely composed is accused of coldness. It is a delicate balance, requiring a degree of self-censorship that few men are asked to practice. The consequence is often a stifling of genuine emotion, and a performance of femininity designed to appease the expectations of others, rather than a true expression of the self.",108,ai_mimicked,Austen_mimicked,Gender Roles,2
"my father should have left so small a collection of books. What a delightful library you have at Pemberley, Mr. Darcy!” ""It ought to be good,” he replied: ""it has been the work of many generations.” ""And then you have added so much to it yourself--you are always buying books.” ""I cannot comprehend the neglect of a family library in such days as these.” ""Neglect! I am sure you neglect nothing that can add to the beauties of that noble place. Charles, when you build your house, I wish it may be half as delightful as Pemberley.” ""I wish it may.” ""But I would really advise you to make your purchase in that neighbourhood, and take Pemberley for a kind of model.",122,human,Austen,original_literature,3
"One observes, with a degree of amusement and perhaps a touch of concern, the efforts made by certain ladies to circumvent the restrictions placed upon their sex. The cultivation of artistic talents, the pursuit of intellectual interests, even the subtle manipulation of social situations – all are employed in an attempt to enhance their allure and exert a degree of influence. Yet, such endeavours are often viewed with suspicion, as a challenge to the established order. A woman who displays too much independence of thought, or too keen an ambition, risks being labelled as unfeminine, or even – heaven forbid – a bluestocking. The delicate balance between asserting one’s capabilities and maintaining a semblance of propriety is a challenge that occupies the attention of many a discerning female, and one which demands a considerable degree of tact and self-awareness.",139,ai_mimicked,Austen_mimicked,Gender Roles,4
"The notion that “opposites attract” often proves misleading when contemplating marriage. While initial sparks might fly with someone vastly different, sustained compatibility requires a foundation of shared fundamental beliefs. This isn’t about mirroring every preference, but rather aligning on crucial life decisions – parenting styles, geographic preferences, and approaches to personal growth. A significant disparity in these areas can create friction that, over time, erodes the initial attraction. Therefore, evaluating marital prospects should prioritize identifying someone whose worldview complements your own, fostering a partnership built on mutual understanding and collaborative decision-making, rather than constant negotiation of opposing viewpoints.",98,ai_neutral,AI,Marital Prospects,5
"now, I may never have another opportunity.” ""I would by no means suspend any pleasure of yours,” he coldly replied. She said no more, and they went down the other dance and parted in silence; on each side dissatisfied, though not to an equal degree; for in Darcy's breast there was a tolerably powerful feeling towards her, which soon procured her pardon, and directed all his anger against another. They had not long separated when Miss Bingley came towards her, and, with an expression of civil disdain, thus accosted her,-- ""So, Miss Eliza, I hear you are quite delighted with George Wickham? Your sister has been talking to me about him, and asking me a thousand questions; and I find that the young man forgot to tell you, among his other communications, that he was the son of old Wickham, the late Mr. Darcy's steward. Let me recommend you, however, as a friend, not to give implicit confidence to all his assertions; for, as to Mr. Darcy's using him ill, it is perfectly false: for, on the contrary, he has been always remarkably kind to him, though George Wickham has treated Mr. Darcy in a most infamous manner.",198,human,Austen,original_literature,6
"Historically, the control of information has been a cornerstone of power. Before the printing press, knowledge was largely confined to the elite – the clergy, the aristocracy – who carefully curated and disseminated information to maintain their authority. Scribes painstakingly copied manuscripts, controlling not only *what* was known, but also *who* had access to it. This deliberate restriction of knowledge served to reinforce existing social hierarchies and suppress challenges to the status quo. The democratization of information through technologies like the printing press and, later, the internet, represents a significant shift in power, though even today, access to reliable information remains unevenly distributed, demonstrating the enduring link between knowledge and control.",111,ai_neutral,AI,Power Dynamics,7
"From a purely statistical perspective, marital prospects are significantly influenced by socioeconomic factors and geographic location. Individuals from higher socioeconomic backgrounds tend to have higher marriage rates and lower divorce rates, likely due to increased financial stability and access to resources. Similarly, certain regions exhibit stronger marriage cultures and support systems, while others demonstrate a more individualistic approach to relationships. Access to quality education, employment opportunities, and affordable housing all play a role in shaping marital outcomes. These factors aren’t deterministic, but they highlight the systemic influences that impact an individual’s ability to form and maintain a successful marriage. Ignoring these broader societal trends provides an incomplete picture of the modern marital landscape.",113,ai_neutral,AI,Marital Prospects,8
"which was a wooden house, as many of the dwellings in our country were, most of them, at that time. When I ran home from the churchyard, the forge was shut up, and Joe was sitting alone in the kitchen. Joe and I being fellow-sufferers, and having confidences as such, Joe imparted a confidence to me, the moment I raised the latch of the door and peeped in at him opposite to it, sitting in the chimney corner. ""Mrs. Joe has been out a dozen times, looking for you, Pip. And she's out now, making it a baker's dozen.” ""Is she?” ""Yes, Pip,” said Joe; ""and what's worse, she's got Tickler with her.” At this dismal intelligence, I twisted the only button on my waistcoat round and round, and looked in great depression at the fire. Tickler was a wax-ended piece of cane, worn smooth by collision with my tickled frame. ""She sot down,” said Joe, ""and she got up, and she made a grab at Tickler, and she Ram-paged out.",171,human,Dickens,original_literature,9
"really, with vexed and embarrassed looks, about to escape, she added, ""Lizzy, I insist upon your staying and hearing Mr. Collins.” Elizabeth would not oppose such an injunction; and a moment's consideration making her also sensible that it would be wisest to get it over as soon and as quietly as possible, she sat down again, and tried to conceal, by incessant employment, the feelings which were divided between distress and diversion. Mrs. Bennet and Kitty walked off, and as soon as they were gone, Mr. Collins began,-- ""Believe me, my dear Miss Elizabeth, that your modesty, so far from doing you any disservice, rather adds to your other perfections. You would have been less amiable in my eyes had there not been this little unwillingness; but allow me to assure you that I have your respected mother's permission for this address. You can hardly doubt the purport of my discourse, however your natural delicacy may lead you to dissemble; my attentions have been too marked to be mistaken. Almost as soon as I entered the house I singled you out as the companion of my future life.",188,human,Austen,original_literature,10
"Is it truly possible to have a society without any form of social control? The very notion seems paradoxical, as even the absence of explicit rules implies a control mechanism – the freedom to act, or not act, is itself a governing force. More commonly, social control manifests as the subtle pressures exerted by cultural norms, expectations regarding behavior, and the internalization of values. These aren’t necessarily imposed by authority, but rather learned through observation and interaction. Consider the unspoken rules of queuing, or the pressure to conform to fashion trends. These seemingly minor instances demonstrate how deeply ingrained social control is in everyday life, shaping individual actions and maintaining societal order without overt coercion. It’s a complex system, often invisible, yet profoundly influential.",124,ai_neutral,AI,Social Control,11
