text_sample,actual_class,ttr,tree_depth,adj_noun_ratio,flesch_kincaid,semicolon_density,comma_density,pred_tier_a_xgb,pred_tier_b_ffnn,pred_tier_c_transformer,all_correct,deceptive_sample
"And then there was such comfort in the very easy distance of Randalls from Hartfield, so convenient for even solitary female walking, and in Mr. Weston's disposition and circumstances, which would make the approaching season no hindrance to their spending half the evenings in the week together. Her situation was altogether the subject of hours of gratitude to Mrs. Weston, and of moments only of regret; and her satisfaction her more than satisfaction her cheerful enjoyment, was so just and so apparent, that Emma, well as she knew her father, was sometimes taken by surprize at his being still able to pity ‘poor Miss Taylor,' when they left her at Randalls in the centre of every domestic comfort, or saw her go away in the evening attended by her pleasant husband to a carriage of her own.",human,0.73,9.0,0.48,16.45801094890511,1.0,10.0,human,human,human,True,False
"Were she a woman of fortune, I would leave every harmless absurdity to take its chance, I would not quarrel with you for any liberties of manner. Were she your equal in situation but, Emma, consider how far this is from being the case. She is poor; she has sunk from the comforts she was born to; and, if she live to old age, must probably sink more. Her situation should secure your compassion. It was badly done, indeed! You, whom she had known from an infant, whom she had seen grow up from a period when her notice was an honour, to have you now, in thoughtless spirits, and the pride of the moment, laugh at her, humble her and before her niece, too and before others, many of whom (certainly some,) would be entirely guided by your treatment of her.",human,0.73,6.0,0.3181818181818182,9.761126760563382,2.0,17.0,human,human,human,True,False
"Isn't it curious how often we find ourselves performing roles dictated not by genuine desire, but by an internalized script of ‘shoulds’? Social expectations, often unspoken, weave a complex web around individual lives, subtly influencing career choices, relationship dynamics, and even personal hobbies. This isn’t necessarily malicious; frequently, these expectations stem from a desire for communal harmony and predictability. However, the pressure to conform can stifle authenticity, leading to a sense of disconnect and unfulfillment. The modern emphasis on self-discovery ironically clashes with the enduring power of these norms, creating a tension many struggle to navigate. Ultimately, recognizing the source of these expectations – and consciously choosing which to embrace – is crucial for cultivating a life aligned with personal values.",ai_neutral,0.82,7.0,0.4242424242424242,16.339957983193276,1.0,11.0,ai_neutral,ai_neutral,ai_neutral,True,False
"The late Lady Ashworth, a woman of considerable fortune and even more considerable opinion, was, in her final years, entirely governed by a belief in her own prophetic powers. Every minor event – a broken teacup, a late arrival, a particularly vibrant sunset – was interpreted as an omen, a sign of impending good or ill fortune. Her household lived in a state of perpetual anxiety, attempting to decipher the meaning of her cryptic pronouncements and to avert the disasters she so confidently predicted. Though her predictions rarely, if ever, came to pass, she remained steadfast in her conviction, attributing her failures not to any flaw in her gift, but to the inadequacy of those around her to properly understand its subtleties. It was a melancholy spectacle, this clinging to delusion, and a sobering reminder of the lengths to which the human heart will go to preserve its own cherished illusions.",ai_mimicked,0.72,7.8,0.625,16.464214765100667,0.0,15.0,ai_mimicked,ai_mimicked,ai_mimicked,True,False
"The concept of familial duty, when examined through a sociological lens, reveals itself as a powerful mechanism for social cohesion. Across cultures, families serve as the primary units of care, economic support, and the transmission of values. Historically, this was a matter of survival; extended families pooled resources and shared labor. While the necessity may have lessened in industrialized nations, the ingrained expectation persists. This isn’t simply about obligation, but about maintaining a collective identity and ensuring the continuity of traditions. However, this system isn’t without its drawbacks. It can perpetuate inequalities, particularly along gender lines, and stifle individual growth if rigidly enforced. A nuanced understanding acknowledges its benefits while remaining critical of its potential for harm.",ai_neutral,0.78,5.875,0.3714285714285714,14.72229700854701,1.0,11.0,ai_neutral,ai_neutral,ai_neutral,True,False
"After her entrance, Colonel Brandon became more thoughtful and silent than he had been before, and Mrs. Jennings could not prevail on him to stay long. No other visitor appeared that evening, and the ladies were unanimous in agreeing to go early to bed. Marianne rose the next morning with recovered spirits and happy looks. The disappointment of the evening before seemed forgotten in the expectation of what was to happen that day. They had not long finished their breakfast before Mrs. Palmer's barouche stopped at the door, and in a few minutes she came laughing into the room: so delighted to see them all, that it was hard to say whether she received most pleasure from meeting her mother or the Miss Dashwoods again.",human,0.76,7.0,0.5263157894736842,8.649485714285717,0.0,5.0,human,human,human,True,False
"That, they were all in excellent spirits on the road home, and sang, O Lady Fair! Mr. Wopsle taking the bass, and asserting with a tremendously strong voice (in reply to the inquisitive bore who leads that piece of music in a most impertinent manner, by wanting to know all about everybody's private affairs) that he was the man with his white locks flowing, and that he was upon the whole the weakest pilgrim going. Finally, I remember that when I got into my little bedroom, I was truly wretched, and had a strong conviction on me that I should never like Joe's trade.",human,0.72,9.0,0.5555555555555556,14.83576923076923,0.0,9.0,human,human,human,True,False
"To observe the intricate dance of social expectation is to witness a performance of remarkable complexity. Each gesture, each carefully chosen word, each seemingly innocuous compliment, is imbued with a significance far exceeding its surface meaning. A refusal of a hand in marriage is not merely a rejection of an individual, but a disruption of carefully laid plans, a challenge to the established order. Acceptance, conversely, is not necessarily an indication of affection, but rather a pragmatic acknowledgement of duty and consequence. It is a world governed by nuance and implication, where true feelings are often concealed beneath a veneer of politeness, and where the pursuit of happiness is frequently sacrificed upon the altar of social convention.",ai_mimicked,0.71,6.4,0.2,15.320615384615383,0.0,10.0,human,ai_mimicked,ai_mimicked,False,False
"dear, I thought it would have been the death of me! So I said, I was very much obliged to him: you know I could not do less; and then he went back to Elizabeth, and I came round by the stables I believe I did but I hardly knew where I was, or any thing about it. Miss Woodhouse, I would rather done any thing than have it happen: and yet, you know, there was a sort of satisfaction in seeing him behave so pleasantly and so kindly. Miss Woodhouse, do talk to me and make me comfortable again.”",human,0.65,5.8,0.5,9.146,1.0,8.0,human,human,human,True,False
"Reflecting on the concept of familial duty, it becomes clear that it’s inextricably linked to the human need for belonging. From childhood, we are socialized to prioritize family, to seek their approval, and to feel obligated to their wellbeing. This ingrained sense of connection can be a powerful source of strength and support, but it can also be exploited. The fear of ostracism or the guilt of perceived abandonment often drives individuals to fulfill duties they don’t genuinely embrace. Recognizing this psychological underpinning is crucial. It allows for a more critical examination of one’s motivations and a more conscious decision about the extent to which one will allow familial expectations to dictate their life choices.",ai_neutral,0.74,6.666666666666667,0.4230769230769231,12.919782608695655,0.0,5.0,human,ai_neutral,ai_neutral,False,False
"When the ladies withdrew to the drawing-room after dinner, this poverty was particularly evident, for the gentlemen had supplied the discourse with some variety the variety of politics, inclosing land, and breaking horses but then it was all over; and one subject only engaged the ladies till coffee came in, which was the comparative heights of Harry Dashwood, and Lady Middleton's second son William, who were nearly of the same age. Had both the children been there, the affair might have been determined too easily by measuring them at once; but as Harry only was present, it was all conjectural assertion on both sides; and every body had a right to be equally positive in their opinion, and to repeat it over and over again as often as they liked.",human,0.75,11.0,0.28,28.367692307692312,3.0,10.0,human,human,human,True,False
"Frequently, discussions about social inequality center on income, but wealth – the total value of assets minus debts – paints a far more revealing picture. While income can fluctuate, wealth provides a buffer against economic shocks and offers opportunities for advancement. The vast chasm in wealth accumulation, largely inherited and compounded over generations, represents a fundamental injustice. Policies aimed solely at income redistribution often fail to address this underlying imbalance. Meaningful change requires tackling wealth inequality directly, through measures like progressive taxation, inheritance taxes, and policies that promote asset building for marginalized communities.",ai_neutral,,7.4,0.2777777777777778,16.664043956043958,0.0,8.0,ai_neutral,ai_neutral,ai_neutral,True,False
"Consider, if you will, the nursery – that supposed sanctuary of virtue – and observe how readily corruption takes root even there. It is not always in overt acts of cruelty, but in the subtle distortions of truth, the fostering of selfish ambition, the casual disregard for the feelings of others, that the seeds of a depraved character are sown. Young Master Cecil, pampered and indulged beyond all reason, already displays a chilling aptitude for manipulation, twisting the affections of his governess and tormenting the stable boy with equal facility. His mother, a woman consumed by social climbing, encourages these tendencies, believing them to be signs of a ‘strong will.’ Alas, a strong will, untempered by compassion and guided by vanity, is merely a weapon in the hands of a moral bankrupt, destined to inflict pain upon all within its reach.",ai_mimicked,0.79,7.2,0.3513513513513513,14.777179856115108,0.0,16.0,ai_mimicked,ai_mimicked,ai_mimicked,True,False
"Your sister need not have any scruple even of visiting her, which, to say the truth, has been a little the case, and very naturally; for we only knew that Mrs. Jennings was the widow of a man who had got all his money in a low way; and Fanny and Mrs. Ferrars were both strongly prepossessed, that neither she nor her daughters were such kind of women as Fanny would like to associate with. But now I can carry her a most satisfactory account of both.” Mrs. John Dashwood had so much confidence in her husband's judgment, that she waited the very next day both on Mrs. Jennings and her daughter; and her confidence was rewarded by finding even the former, even the woman with whom her sisters were staying, by no means unworthy her notice; and as for Lady Middleton, she found her one of the most charming women in the world!",human,0.77,7.666666666666667,0.375,11.123896103896104,4.0,9.0,human,human,human,True,False
"The responsible duty of making the toast was delegated to the Aged, and that excellent old gentleman was so intent upon it that he seemed to me in some danger of melting his eyes. It was no nominal meal that we were going to make, but a vigorous reality. The Aged prepared such a hay-stack of buttered toast, that I could scarcely see him over it as it simmered on an iron stand hooked on to the top-bar; while Miss Skiffins brewed such a jorum of tea, that the pig in the back premises became strongly excited, and repeatedly expressed his desire to participate in the entertainment.",human,0.71,7.666666666666667,0.5,15.744299065420565,1.0,5.0,human,human,human,True,False
"These parlors are both too small for such parties of our friends as I hope to see often collected here; and I have some thoughts of throwing the passage into one of them with perhaps a part of the other, and so leave the remainder of that other for an entrance; this, with a new drawing room which may be easily added, and a bed-chamber and garret above, will make it a very snug little cottage. I could wish the stairs were handsome. But one must not expect every thing; though I suppose it would be no difficult matter to widen them.",human,0.78,7.0,0.5294117647058824,13.519019607843138,3.0,4.0,human,human,human,True,False
"His first object with her, he acknowledged, had been to persuade her to quit her present disgraceful situation, and return to her friends as soon as they could be prevailed on to receive her, offering his assistance as far as it would go. But he found Lydia absolutely resolved on remaining where she was. She cared for none of her friends; she wanted no help of his; she would not hear of leaving Wickham. She was sure they should be married some time or other, and it did not much signify when. Since such were her feelings, it only remained, he thought, to secure and expedite a marriage, which, in his very first conversation with Wickham, he easily learnt had never been his design.",human,0.69,7.6,0.6153846153846154,10.449741935483877,2.0,11.0,human,human,human,True,False
"At last, when he appealed by name to Monsieur Lorry, an English gentleman then and there present, who, like himself, had been a witness on that English trial and could corroborate his account of it, the Jury declared that they had heard enough, and that they were ready with their votes if the President were content to receive them. At every vote (the Jurymen voted aloud and individually), the populace set up a shout of applause. All the voices were in the prisoner's favour, and the President declared him free. Then, began one of those extraordinary scenes with which the populace sometimes gratified their fickleness, or their better impulses towards generosity and mercy, or which they regarded as some set-off against their swollen account of cruel rage.",human,0.74,7.5,0.375,15.096437007874016,0.0,12.0,ai_mimicked,human,human,False,False
