text,true_label,true_class,xgb_pred,transformer_pred,xgb_correct,transformer_correct
"The remains of my poor sister had been brought round by the kitchen door, and, it being a point of Undertaking ceremony that the six bearers must be stifled and blinded under a horrible black velvet housing with a white border, the whole looked like a blind monster with twelve human legs, shuffling and blundering along, under the guidance of two keepers, the postboy and his comrade. The neighbourhood, however, highly approved of these arrangements, and we were much admired as we went through the village; the more youthful and vigorous part of the community making dashes now and then to cut us off, and lying in wait to intercept us at points of vantage.",2,human,0,2,False,True
"The insidious nature of this influence lies not merely in the act itself, but in its very invisibility. It is a fog that creeps into the mind, obscuring judgment and distorting perception. Think upon the mesmerist, flourishing in fashionable society, claiming to command the very thoughts of his subjects! Though many dismiss such displays as mere trickery, the underlying principle – the power of one mind to dominate another – is profoundly disturbing. For if a charlatan can achieve such an effect through theatrical artifice, what then of those who possess a more subtle, a more deeply ingrained talent for persuasion? The question haunts the discerning observer, suggesting a fragility within us all, a susceptibility to forces we scarcely comprehend.",0,ai_mimicked,1,0,False,True
"The air in the Ragged School hung thick with the scent of damp wool and unwashed bodies, a palpable testament to the destitution surrounding it. Yet, even within those grim walls, one could discern the flicker of resilience in the eyes of the children gathered there, a desperate clinging to the promise of knowledge, of betterment. But how fragile that hope! How easily extinguished by a harsh word, a dismissive glance, or the crushing weight of knowing their families faced starvation. Their vulnerability lay not simply in their poverty, but in their utter dependence upon a society that too often turned a blind eye to their plight, preferring to dwell in comfortable illusions of progress and prosperity. The very stones of the building seemed to weep with the unspoken sorrows of its young inhabitants.",0,ai_mimicked,2,0,False,True
"I thought it my duty to give the speediest intelligence of this to my cousin, that she and her noble admirer may be aware of what they are about, and not run hastily into a marriage which has not been properly sanctioned.' Mr. Collins, moreover, adds, ‘I am truly rejoiced that my cousin Lydia's sad business has been so well hushed up, and am only concerned that their living together before the marriage took place should be so generally known. I must not, however, neglect the duties of my station, or refrain from declaring my amazement, at hearing that you received the young couple into your house as soon as they were married.",2,human,0,2,False,True
"To observe the courtship rituals of the ton is to witness a delicate dance of propriety and deception. Every glance, every compliment, every carefully worded inquiry is fraught with hidden meaning, a subtle attempt to gauge the other party’s intentions and assess their worth. It is a game played with the utmost seriousness, for the stakes are exceedingly high. A misstep, a poorly chosen word, can ruin a promising prospect and condemn a young lady to the dreaded status of a spinster. One cannot help but feel a degree of sympathy for those caught in this intricate web of social expectation, particularly those who possess a genuine desire for affection, rather than merely a desire for a comfortable establishment.",0,ai_mimicked,1,0,False,True
"To speak of manipulation is to speak, in truth, of a profound imbalance – a disparity of power cloaked in the guise of affection or necessity. It is a disease of the spirit, festering in the shadowed recesses of the human condition. One recalls the Reverend Mr. Ainsworth, a pillar of the community, lauded for his piety and charitable works. Yet, beneath the veneer of sanctity lay a chilling ambition. He cultivated a network of informants, subtly encouraging gossip and discord amongst his parishioners, all to maintain his position of authority. He did not demand obedience; he *engineered* it, fostering a climate of fear and dependence, where dissent was swiftly and silently extinguished. A shepherd who tended his flock not with love, but with a calculating eye.",0,ai_mimicked,2,0,False,True
"The drawing-room, with its delicate furnishings and carefully arranged displays of accomplishment, served as a gilded cage for many a young lady. There, amidst the pianoforte practice and the embroidery frames, a subtle but pervasive lesson was imparted: that a woman’s sphere of influence was limited to the domestic, that her intellect was best employed in the cultivation of pleasing accomplishments, and that her ambition should not extend beyond securing a suitable husband. One could scarcely blame those who, finding such limitations irksome, sought solace in clandestine correspondence or in the pursuit of intellectual interests deemed unfeminine. Yet, to openly defy these conventions was to risk social ostracism, and to forfeit the very protections afforded by a well-regulated society.",0,ai_mimicked,1,0,False,True
"The concept of parental duty often defaults to providing basic needs – food, shelter, education – yet a crucial, often overlooked, component is the transmission of values. These aren’t necessarily religious or political doctrines, but fundamental principles like empathy, integrity, and respect for diverse perspectives. This transmission isn’t achieved through lectures, but through modeling. Children are astute observers, internalizing behaviors far more readily than pronouncements. A parent who consistently demonstrates kindness, honesty, and a willingness to listen cultivates these qualities in their child. This ethical foundation isn’t about creating perfect individuals, but about fostering responsible citizens capable of contributing positively to society. It’s a long-term investment, shaping not just a child’s character, but the future community.",1,ai_neutral,0,1,False,True
"Old Man Tiber, they called him – a name bestowed not out of respect, but a grim acknowledgement of his age and the relentless current of misfortune that had carried him to the lowest ebb. He was, in his youth, a master carpenter, a craftsman of renown, building grand staircases for the very houses that now turned their backs upon him. But a twist of fate – a crippling accident, a dishonest partner, the usual catalogue of calamities – had stripped him of his livelihood and his dignity. And yet, observe the subtle pride that remains in his bearing, the faint echo of skill in his gnarled hands. It is not charity he craves, mark you, but opportunity; a chance to prove that even in the winter of his years, a man may still possess worth, a value beyond the price of a crust of bread.",0,ai_mimicked,2,0,False,True
"Frequently overlooked is the impact of childhood trauma on identity formation. When a child’s sense of self is repeatedly invalidated or threatened, it can lead to a fragmented and unstable sense of identity. Individuals may struggle with questions of “Who am I?” and “What do I want?” feeling lost and disconnected from their authentic selves. This can manifest as a chameleon-like tendency to adapt to others’ expectations, a lack of clear values, or a persistent feeling of emptiness. Reclaiming a sense of self requires a process of exploration, self-discovery, and the cultivation of self-acceptance, allowing the individual to define their own narrative, independent of past wounds.",1,ai_neutral,2,1,False,True
