word,class,count,mean_attribution,std_attribution,median_attribution,total_attribution
the,ai_mimicked,594,0.00052338996,0.0009477264,0.0005677133,0.31089363
late,ai_mimicked,4,-0.0005216857,0.00069215556,-0.00037276026,-0.0020867428
lady,ai_mimicked,25,0.00058844185,0.0015383484,0.00044397957,0.014711047
ash,ai_mimicked,5,0.0018077627,0.0010395495,0.0024152943,0.009038813
worth,ai_mimicked,9,0.0008405817,0.0015460023,0.00066526164,0.0075652357
woman,ai_mimicked,12,-5.496662e-05,0.0015577222,0.0001328495,-0.00065959943
of,ai_mimicked,608,-0.000103226055,0.0009716594,-7.9045e-05,-0.06276144
considerable,ai_mimicked,17,0.0003418301,0.00043466839,0.00041780266,0.005811112
fortune,ai_mimicked,30,-0.00038451602,0.00087889616,-0.00034228497,-0.011535481
and,ai_mimicked,237,5.1778723e-05,0.00091470446,0.000111526664,0.012271557
even,ai_mimicked,17,-5.2399304e-05,0.000682765,-0.00011624159,-0.00089078816
more,ai_mimicked,44,-0.00014824232,0.0006123828,-0.00011007018,-0.0065226625
opinion,ai_mimicked,3,-0.0002851355,0.00023868843,-0.00042024715,-0.0008554065
was,ai_mimicked,44,-0.00044357256,0.00094437297,-0.0005537853,-0.019517193
in,ai_mimicked,121,-0.00012756097,0.00087118975,-5.7464684e-05,-0.015434878
her,ai_mimicked,68,0.0009443038,0.0009567254,0.00085403596,0.06421266
years,ai_mimicked,5,-0.00012261905,0.001088329,-0.000600935,-0.00061309524
entirely,ai_mimicked,11,0.000104809835,0.0008208177,0.00016673942,0.0011529082
governed,ai_mimicked,3,-0.00195637,0.00080004695,-0.001411634,-0.0058691096
by,ai_mimicked,71,-3.3815988e-05,0.0007781223,-2.954068e-06,-0.0024009352
own,ai_mimicked,23,0.0004986154,0.0004269256,0.00044447838,0.011468153
ic,ai_mimicked,5,-0.00052705576,0.0010774982,-0.00013123486,-0.0026352787
every,ai_mimicked,10,0.00011502179,0.00195562,-1.9383107e-05,0.0011502178
tea,ai_mimicked,3,-9.68113e-05,0.00040753075,0.000104808074,-0.0002904339
particularly,ai_mimicked,8,-7.243465e-05,0.00044624592,-0.00014397257,-0.0005794772
vibrant,ai_mimicked,3,0.00021215699,0.00088147447,5.1232608e-05,0.00063647097
as,ai_mimicked,48,0.0004668938,0.000803848,0.00024808198,0.022410903
an,ai_mimicked,18,0.00044539856,0.00084301207,0.0003503288,0.008017174
en,ai_mimicked,6,-0.00011650085,0.00039138738,1.3055833e-05,-0.0006990051
good,ai_mimicked,7,0.00035088713,0.00021855747,0.00032392345,0.0024562099
or,ai_mimicked,23,-0.0010383427,0.0009943125,-0.0011831912,-0.023881882
ill,ai_mimicked,4,-0.0005073963,0.00047753105,-0.00040206808,-0.0020295852
household,ai_mimicked,3,-0.0011541655,0.0019081887,0.00016044383,-0.0034624964
state,ai_mimicked,5,-0.001260415,0.0011188576,-0.0012099599,-0.0063020745
perpetual,ai_mimicked,10,-0.00021884532,0.00055967557,-0.00015552016,-0.0021884532
to,ai_mimicked,293,-5.6711353e-05,0.0008126836,-6.0757855e-05,-0.016616426
dec,ai_mimicked,3,-0.0008199527,0.00024661783,-0.0007840487,-0.002459858
ip,ai_mimicked,4,0.0002215891,0.001426221,-0.00034540493,0.0008863564
pro,ai_mimicked,11,6.220637e-06,0.0003377663,5.3374337e-05,6.8427005e-05
no,ai_mimicked,21,-0.00069429155,0.00061013835,-0.00063857494,-0.014580123
unce,ai_mimicked,9,-0.0007705055,0.0003590773,-0.0006736915,-0.0069345497
ments,ai_mimicked,7,-0.00046893794,0.00045482424,-0.0004974257,-0.0032825656
ave,ai_mimicked,3,0.0001703486,0.00068593357,0.00051021884,0.0005110458
she,ai_mimicked,17,0.0019403705,0.000979041,0.0018270427,0.0329863
so,ai_mimicked,25,0.0002494945,0.000854568,1.4391117e-05,0.006237363
though,ai_mimicked,28,0.00057394215,0.00072989654,0.0005286309,0.01607038
rarely,ai_mimicked,5,-0.0025076359,0.0024581715,-0.0013857328,-0.01253818
if,ai_mimicked,18,-0.00013669266,0.00075817056,1.4444238e-05,-0.0024604679
pass,ai_mimicked,3,-0.0003274095,0.00026017195,-0.00033855508,-0.0009822286
remained,ai_mimicked,4,-0.00015024234,0.0007067871,-5.3433094e-05,-0.00060096936
at,ai_mimicked,18,0.00078777614,0.0013298617,0.0008141686,0.01417997
bu,ai_mimicked,3,0.00034450184,0.00031834847,0.0005565416,0.0010335055
ting,ai_mimicked,3,0.00032699198,0.00064296764,0.00044334453,0.0009809759
not,ai_mimicked,83,-0.00080233626,0.0007189136,-0.00068997964,-0.06659391
any,ai_mimicked,19,3.2549462e-05,0.00079314224,-0.00010067229,0.00061843975
but,ai_mimicked,75,0.00032893952,0.0009577829,0.00035066545,0.024670465
de,ai_mimicked,9,0.00020573907,0.00049451896,0.0003320103,0.0018516516
cy,ai_mimicked,6,0.00010875168,0.0004657573,0.00014859247,0.0006525101
those,ai_mimicked,39,-0.00024385464,0.0009132754,-0.00045909797,-0.009510331
around,ai_mimicked,4,-0.00031258876,0.0005296359,-0.00023882804,-0.001250355
understand,ai_mimicked,4,0.0010525028,0.00038811148,0.0011794269,0.004210011
its,ai_mimicked,21,-0.00014899082,0.0034433461,4.733118e-05,-0.003128807
subtle,ai_mimicked,13,-0.00031379922,0.0006394458,-0.00025424798,-0.00407939
ties,ai_mimicked,4,-0.0006353902,0.00031530915,-0.00074388855,-0.002541561
it,ai_mimicked,97,0.00014988304,0.00092151714,0.00020416873,0.014538654
melancholy,ai_mimicked,5,0.0010830417,0.0012100673,0.0010083558,0.005415208
spectacle,ai_mimicked,4,0.0013760102,0.0018884909,0.0010526676,0.005504041
this,ai_mimicked,13,8.493003e-06,0.00055654615,-2.1748972e-05,0.00011040905
del,ai_mimicked,6,-0.00068881136,0.0008850009,-0.00061909185,-0.0041328683
usion,ai_mimicked,4,0.001121626,0.00060940406,0.000994397,0.004486504
ing,ai_mimicked,30,-0.00023727841,0.0009029149,-0.0001784742,-0.007118352
which,ai_mimicked,31,-0.00014301685,0.0012402191,-0.0002719894,-0.0044335225
human,ai_mimicked,9,-0.0014951495,0.0018668235,-0.0011046674,-0.013456345
heart,ai_mimicked,10,-0.0006675574,0.0019640406,6.0307124e-05,-0.006675574
will,ai_mimicked,19,0.0006494766,0.0010027013,0.00084775774,0.012340056
go,ai_mimicked,3,-0.00052513607,0.0005631407,-0.0008616388,-0.0015754083
preserve,ai_mimicked,3,0.00034551768,0.00064467534,0.00047446167,0.0010365531
cher,ai_mimicked,3,-0.0002946366,0.00036324735,-0.00014934228,-0.00088390976
ished,ai_mimicked,3,-0.00034151165,0.000724729,3.9230203e-05,-0.0010245349
observe,ai_mimicked,14,-0.0009301397,0.0016970352,-0.00027220888,-0.013021955
intricate,ai_mimicked,5,-0.00030867726,0.0002653187,-0.0002754012,-0.0015433863
social,ai_mimicked,15,0.00025980285,0.00080887147,1.0351359e-05,0.0038970427
expectation,ai_mimicked,4,0.00045977882,0.000703933,0.00083575654,0.0018391153
is,ai_mimicked,134,-4.0539213e-05,0.0009042688,8.253637e-05,-0.0054322546
witness,ai_mimicked,4,-0.0010564409,0.001126121,-0.0007816354,-0.0042257635
performance,ai_mimicked,3,-0.00071203965,0.0005991823,-0.0006467346,-0.002136119
remarkable,ai_mimicked,3,0.0008765703,0.0002336244,0.0007714636,0.0026297108
each,ai_mimicked,12,0.00090000726,0.00088453613,0.0013784112,0.010800087
carefully,ai_mimicked,7,1.1715705e-06,0.0009071362,-2.9827657e-05,8.200994e-06
im,ai_mimicked,7,0.00045482963,0.00076585513,0.0003277627,0.0031838075
ed,ai_mimicked,29,-9.113722e-05,0.00065754424,-7.574262e-05,-0.0026429794
with,ai_mimicked,98,0.0004276488,0.000688433,0.0004405721,0.041909583
far,ai_mimicked,13,0.00026644487,0.0004612168,0.00038240664,0.0034637833
refusal,ai_mimicked,3,0.00018061294,0.0004707567,0.0004205474,0.0005418388
hand,ai_mimicked,4,-0.000190128,0.0006250449,-0.0002494412,-0.000760512
marriage,ai_mimicked,4,0.0029646643,0.0025814362,0.00400443,0.011858657
merely,ai_mimicked,26,-0.00053519424,0.00068239146,-0.000508185,-0.01391505
individual,ai_mimicked,6,-0.0006490026,0.0016999125,-0.00011093954,-0.0038940157
established,ai_mimicked,6,-0.0007288337,0.00054623786,-0.00072022574,-0.0043730023
order,ai_mimicked,7,-0.001802841,0.004785269,0.00075798377,-0.012619887
acceptance,ai_mimicked,4,-0.00011999774,0.00084746286,5.795432e-05,-0.00047999097
necessarily,ai_mimicked,3,-1.4839733e-05,0.00029269062,-0.00010965712,-4.4519198e-05
affection,ai_mimicked,18,6.7717745e-05,0.0009614851,0.00031966984,0.0012189194
rather,ai_mimicked,17,-0.00036982176,0.00076421903,-0.00030575434,-0.00628697
pr,ai_mimicked,6,-0.0001822107,0.0005673864,-9.798071e-05,-0.0010932642
