sample,class,ttr,hapax,TreeDepth,AdjToNounRatio,FK_Grade,Semicolons,Commas
"Down to that moment, I had vainly supposed that my creditor had withdrawn, or suspended proceedings until I should be quite recovered. I had never dreamed of Joe's having paid the money; but Joe had paid it, and the receipt was in his name. What remained for me now, but to follow him to the dear old forge, and there to have out my disclosure to him, and my penitent remonstrance with him, and there to relieve my mind and heart of that reserved Secondly, which had begun as a vague something lingering in my thoughts, and had formed into a settled purpose?",human,0.6836734693877551,55,7.333333333333333,0.3076923076923077,13.724271844660198,1,9
"Of having another daughter married to Mr. Collins she thought with equal certainty, and with considerable, though not equal, pleasure. Elizabeth was the least dear to her of all her children; and though the man and the match were quite good enough for her, the worth of each was eclipsed by Mr. Bingley and Netherfield. The next day opened a new scene at Longbourn. Mr. Collins made his declaration in form. Having resolved to do it without loss of time, as his leave of absence extended only to the following Saturday, and having no feelings of diffidence to make it distressing to himself even at the moment, he set about it in a very orderly manner, with all the observances which he supposed a regular part of the business.",human,0.6666666666666666,66,5.8,0.43478260869565216,9.251406423034329,1,8
"Old Orlick felt that the situation admitted of nothing less than coming on, and was on his defence straightway; so, without so much as pulling off their singed and burnt aprons, they went at one another, like two giants. But, if any man in that neighbourhood could stand uplong against Joe, I never saw the man. Orlick, as if he had been of no more account than the pale young gentleman, was very soon among the coal-dust, and in no hurry to come out of it. Then Joe unlocked the door and picked up my sister, who had dropped insensible at the window (but who had seen the fight first, I think), and who was carried into the house and laid down, and who was recommended to revive, and would do nothing but struggle and clench her hands in Joe's hair.",human,0.6928571428571428,77,8.25,0.2,13.639769503546102,1,14
"He protested that she should receive from him no mark of affection whatever on the occasion. Mrs. Bennet could hardly comprehend it. That his anger could be carried to such a point of inconceivable resentment as to refuse his daughter a privilege, without which her marriage would scarcely seem valid, exceeded all that she could believe possible. She was more alive to the disgrace, which her want of new clothes must reflect on her daughter's nuptials, than to any sense of shame at her eloping and living with Wickham a fortnight before they took place. Elizabeth was now most heartily sorry that she had, from the distress of the moment, been led to make Mr. Darcy acquainted with their fears for her sister; for since her marriage would so shortly give the proper termination to the elopement, they might hope to conceal its unfavourable beginning from all those who were not immediately on the spot.",human,0.7171052631578947,91,7.0,0.2857142857142857,11.84241935483871,1,7
"That he was surprised by the connection was evident: he sustained it, however, with fortitude: and, so far from going away, turned back with them, and entered into conversation with Mr. Gardiner. Elizabeth could not but be pleased, could not but triumph. It was consoling that he should know she had some relations for whom there was no need to blush. She listened most attentively to all that passed between them, and gloried in every expression, every sentence of her uncle, which marked his intelligence, his taste, or his good manners. The conversation soon turned upon fishing; and she heard Mr. Darcy invite him, with the greatest civility, to fish there as often as he chose, while he continued in the neighbourhood, offering at the same time to supply him with fishing tackle, and pointing out those parts of the stream where there was usually most sport.",human,0.6802721088435374,75,8.2,0.2727272727272727,11.464319727891159,1,16
"But, though she had taken such strong possession of me, though my fancy and my hope were so set upon her, though her influence on my boyish life and character had been all-powerful, I did not, even that romantic morning, invest her with any attributes save those she possessed. I mention this in this place, of a fixed purpose, because it is the clue by which I am to be followed into my poor labyrinth. According to my experience, the conventional notion of a lover cannot be always true. The unqualified truth is, that when I loved Estella with the love of a man, I loved her simply because I found her irresistible.",human,0.7428571428571429,62,7.0,0.6111111111111112,12.553163716814158,0,11
"The subject was a suggestive one to me, and I thought about it in silence. Mr. Wopsle, as the ill-requited uncle of the evening's tragedy, fell to meditating aloud in his garden at Camberwell. Orlick, with his hands in his pockets, slouched heavily at my side. It was very dark, very wet, very muddy, and so we splashed along. Now and then, the sound of the signal cannon broke upon us again, and again rolled sulkily along the course of the river. I kept myself to myself and my thoughts. Mr. Wopsle died amiably at Camberwell, and exceedingly game on Bosworth Field, and in the greatest agonies at Glastonbury.",human,0.6635514018691588,56,5.714285714285714,0.29411764705882354,8.453499344692005,0,12
"Mr. Gardiner was a sensible, gentlemanlike man, greatly superior to his sister, as well by nature as education. The Netherfield ladies would have had difficulty in believing that a man who lived by trade, and within view of his own warehouses, could have been so well-bred and agreeable. Mrs. Gardiner, who was several years younger than Mrs. Bennet and Mrs. Philips, was an amiable, intelligent, elegant woman, and a great favourite with her Longbourn nieces. Between the two eldest and herself especially, there subsisted a very particular regard. They had frequently been staying with her in town. The first part of Mrs. Gardiner's business, on her arrival, was to distribute her presents and describe the newest fashions.",human,0.7192982456140351,64,6.333333333333333,0.7619047619047619,8.844102564102567,0,13
"Within doors there was Lady Catherine, books, and a billiard table, but gentlemen cannot be always within doors; and in the nearness of the Parsonage, or the pleasantness of the walk to it, or of the people who lived in it, the two cousins found a temptation from this period of walking thither almost every day. They called at various times of the morning, sometimes separately, sometimes together, and now and then accompanied by their aunt. It was plain to them all that Colonel Fitzwilliam came because he had pleasure in their society, a persuasion which of course recommended him still more; and Elizabeth was reminded by her own satisfaction in being with him, as well as by his evident admiration, of her former favourite, George Wickham; and though, in comparing them, she saw there was less captivating softness in Colonel Fitzwilliam's manners, she believed he might have the best informed mind.",human,0.697986577181208,83,9.0,0.25,22.102894736842106,3,16
"And then I thought of Estella, and of our parting, and went home very sadly. All things were as quiet in the Temple as ever I had seen them. The windows of the rooms on that side, lately occupied by Provis, were dark and still, and there was no lounger in Garden Court. I walked past the fountain twice or thrice before I descended the steps that were between me and my rooms, but I was quite alone. Herbert, coming to my bedside when he came in, for I went straight to bed, dispirited and fatigued, made the same report.",human,0.7446808510638298,58,6.0,0.3076923076923077,7.432000000000002,0,10
