text,author,class,word_count,topic,sample_id
"Down to that moment, I had vainly supposed that my creditor had withdrawn, or suspended proceedings until I should be quite recovered. I had never dreamed of Joe's having paid the money; but Joe had paid it, and the receipt was in his name. What remained for me now, but to follow him to the dear old forge, and there to have out my disclosure to him, and my penitent remonstrance with him, and there to relieve my mind and heart of that reserved Secondly, which had begun as a vague something lingering in my thoughts, and had formed into a settled purpose?",Dickens,human,103,Appearance Versus Reality,human_0000
"Of having another daughter married to Mr. Collins she thought with equal certainty, and with considerable, though not equal, pleasure. Elizabeth was the least dear to her of all her children; and though the man and the match were quite good enough for her, the worth of each was eclipsed by Mr. Bingley and Netherfield. The next day opened a new scene at Longbourn. Mr. Collins made his declaration in form. Having resolved to do it without loss of time, as his leave of absence extended only to the following Saturday, and having no feelings of diffidence to make it distressing to himself even at the moment, he set about it in a very orderly manner, with all the observances which he supposed a regular part of the business.",Austen,human,129,Appearance Versus Reality,human_0001
"Old Orlick felt that the situation admitted of nothing less than coming on, and was on his defence straightway; so, without so much as pulling off their singed and burnt aprons, they went at one another, like two giants. But, if any man in that neighbourhood could stand uplong against Joe, I never saw the man. Orlick, as if he had been of no more account than the pale young gentleman, was very soon among the coal-dust, and in no hurry to come out of it. Then Joe unlocked the door and picked up my sister, who had dropped insensible at the window (but who had seen the fight first, I think), and who was carried into the house and laid down, and who was recommended to revive, and would do nothing but struggle and clench her hands in Joe's hair.",Dickens,human,141,The Power of Social Expectations,human_0002
"He protested that she should receive from him no mark of affection whatever on the occasion. Mrs. Bennet could hardly comprehend it. That his anger could be carried to such a point of inconceivable resentment as to refuse his daughter a privilege, without which her marriage would scarcely seem valid, exceeded all that she could believe possible. She was more alive to the disgrace, which her want of new clothes must reflect on her daughter's nuptials, than to any sense of shame at her eloping and living with Wickham a fortnight before they took place. Elizabeth was now most heartily sorry that she had, from the distress of the moment, been led to make Mr. Darcy acquainted with their fears for her sister; for since her marriage would so shortly give the proper termination to the elopement, they might hope to conceal its unfavourable beginning from all those who were not immediately on the spot.",Austen,human,155,Appearance Versus Reality,human_0003
"That he was surprised by the connection was evident: he sustained it, however, with fortitude: and, so far from going away, turned back with them, and entered into conversation with Mr. Gardiner. Elizabeth could not but be pleased, could not but triumph. It was consoling that he should know she had some relations for whom there was no need to blush. She listened most attentively to all that passed between them, and gloried in every expression, every sentence of her uncle, which marked his intelligence, his taste, or his good manners. The conversation soon turned upon fishing; and she heard Mr. Darcy invite him, with the greatest civility, to fish there as often as he chose, while he continued in the neighbourhood, offering at the same time to supply him with fishing tackle, and pointing out those parts of the stream where there was usually most sport.",Austen,human,147,Social Class and Mobility,human_0004
"But, though she had taken such strong possession of me, though my fancy and my hope were so set upon her, though her influence on my boyish life and character had been all-powerful, I did not, even that romantic morning, invest her with any attributes save those she possessed. I mention this in this place, of a fixed purpose, because it is the clue by which I am to be followed into my poor labyrinth. According to my experience, the conventional notion of a lover cannot be always true. The unqualified truth is, that when I loved Estella with the love of a man, I loved her simply because I found her irresistible.",Dickens,human,113,The Impact of Childhood Trauma,human_0005
"The subject was a suggestive one to me, and I thought about it in silence. Mr. Wopsle, as the ill-requited uncle of the evening's tragedy, fell to meditating aloud in his garden at Camberwell. Orlick, with his hands in his pockets, slouched heavily at my side. It was very dark, very wet, very muddy, and so we splashed along. Now and then, the sound of the signal cannon broke upon us again, and again rolled sulkily along the course of the river. I kept myself to myself and my thoughts. Mr. Wopsle died amiably at Camberwell, and exceedingly game on Bosworth Field, and in the greatest agonies at Glastonbury.",Dickens,human,109,Social Class and Mobility,human_0006
"Mr. Gardiner was a sensible, gentlemanlike man, greatly superior to his sister, as well by nature as education. The Netherfield ladies would have had difficulty in believing that a man who lived by trade, and within view of his own warehouses, could have been so well-bred and agreeable. Mrs. Gardiner, who was several years younger than Mrs. Bennet and Mrs. Philips, was an amiable, intelligent, elegant woman, and a great favourite with her Longbourn nieces. Between the two eldest and herself especially, there subsisted a very particular regard. They had frequently been staying with her in town. The first part of Mrs. Gardiner's business, on her arrival, was to distribute her presents and describe the newest fashions.",Austen,human,117,Appearance Versus Reality,human_0007
"Within doors there was Lady Catherine, books, and a billiard table, but gentlemen cannot be always within doors; and in the nearness of the Parsonage, or the pleasantness of the walk to it, or of the people who lived in it, the two cousins found a temptation from this period of walking thither almost every day. They called at various times of the morning, sometimes separately, sometimes together, and now and then accompanied by their aunt. It was plain to them all that Colonel Fitzwilliam came because he had pleasure in their society, a persuasion which of course recommended him still more; and Elizabeth was reminded by her own satisfaction in being with him, as well as by his evident admiration, of her former favourite, George Wickham; and though, in comparing them, she saw there was less captivating softness in Colonel Fitzwilliam's manners, she believed he might have the best informed mind.",Austen,human,152,Gender Roles and Expectations,human_0008
"And then I thought of Estella, and of our parting, and went home very sadly. All things were as quiet in the Temple as ever I had seen them. The windows of the rooms on that side, lately occupied by Provis, were dark and still, and there was no lounger in Garden Court. I walked past the fountain twice or thrice before I descended the steps that were between me and my rooms, but I was quite alone. Herbert, coming to my bedside when he came in, for I went straight to bed, dispirited and fatigued, made the same report.",Dickens,human,100,Social Class and Mobility,human_0009
"At length, however, Mrs. Bennet had no more to say; and Lady Lucas, who had been long yawning at the repetition of delights which she saw no likelihood of sharing, was left to the comforts of cold ham and chicken. Elizabeth now began to revive. But not long was the interval of tranquillity; for when supper was over, singing was talked of, and she had the mortification of seeing Mary, after very little entreaty, preparing to oblige the company. By many significant looks and silent entreaties did she endeavour to prevent such a proof of complaisance,--but in vain; Mary would not understand them; such an opportunity of exhibiting was delightful to her, and she began her song.",Austen,human,117,The Power of Social Expectations,human_0010
"As Mrs. Gardiner began to wish to be at home, it was settled that she and her children should go to London at the same time that Mr. Bennet came from it. The coach, therefore, took them the first stage of their journey, and brought its master back to Longbourn. Mrs. Gardiner went away in all the perplexity about Elizabeth and her Derbyshire friend, that had attended her from that part of the world. His name had never been voluntarily mentioned before them by her niece; and the kind of half-expectation which Mrs. Gardiner had formed, of their being followed by a letter from him, had ended in nothing.",Austen,human,109,The Power of Social Expectations,human_0011
"My thoughts passed into the great room across the landing where the table was spread, and I saw it written, as it were, in the falls of the cobwebs from the centre-piece, in the crawlings of the spiders on the cloth, in the tracks of the mice as they betook their little quickened hearts behind the panels, and in the gropings and pausings of the beetles on the floor. It happened on the occasion of this visit that some sharp words arose between Estella and Miss Havisham. It was the first time I had ever seen them opposed. We were seated by the fire, as just now described, and Miss Havisham still had Estella's arm drawn through her own, and still clutched Estella's hand in hers, when Estella gradually began to detach herself.",Dickens,human,133,The Power of Social Expectations,human_0012
